Metabolite	Concentration
M_pqq	0
M_tartr__D	0
M_cl	10
M_ni2	10
M_ca2	10
M_cobalt2	10
M_tungs	10
M_mn2	10
M_nh4	10
M_cu2	10
M_fe2	10
M_cbl1	10
M_slnt	10
M_o2	10
M_mobd	10
M_k	10
M_h	10
M_co2	10
M_fe3	10
M_pi	10
M_zn2	10
M_mg2	10
M_so4	10
M_sel	10
M_h2o	10
M_lipoate	10
M_na1	10
M_ala__D	0
M_arg__L	0
M_asp__L	0
M_asn__L	0
M_cys__L	0
M_gln__L	0
M_glu__L	0
M_gly	0
M_his__L	0
M_ile__L	0
M_leu__L	0
M_lys__L	0
M_met__L	0
M_phe__L	0
M_pro__L	0
M_ser__L	0
M_thr__L	0
M_trp__L	0
M_tyr__L	0
M_val__L	0
M_glc__D	10
M_glyc	0
M_ac	0
M_malt	0
M_man	0
M_xyl__D	0
M_pheme	0
M_cm	0
M_glcur	0
M_indole	0
M_acgam	0
M_acgal	0
M_cu	0
M_quin	0
M_sulfac	0
M_fruur	0
M_arbtn	0
M_xtsn	0
M_lac__L	0
M_ppt	0
M_tma	0
M_3hcinnm	0
M_meoh	0
M_lac__D	0
M_cgly	0
M_f6p	0
M_fe3dhbzs	0
M_dad_2	0
M_ins	0
M_acnam	0
M_3ump	0
M_dcyt	0
M_LalaDglu	0
M_arbt	0
M_so3	0
M_n2o	0
M_fum	0
M_metsox_S__L	0
M_ura	0
M_r5p	0
M_rfamp	0
M_3cmp	0
M_glyb	0
M_g3ps	0
M_gam	0
M_gal	0
M_damp	0
M_g3pi	0
M_dopa	0
M_galctn__D	0
M_nmn	0
M_g3pc	0
M_agm	0
M_g3pe	0
M_malthx	0
M_g3pg	0
M_pppn	0
M_tym	0
M_hom__L	0
M_mmet	0
M_pydam	0
M_udpg	0
M_alaala	0
M_cit	0
M_dump	0
M_tre	0
M_fusa	0
M_but	0
M_dca	0
M_mnl	0
M_all__D	0
M_maltttr	0
M_fru	0
M_eca4colipa	0
M_5mtr	0
M_acac	0
M_man6p	0
M_acmum	0
M_dgsn	0
M_malttr	0
M_sbt__D	0
M_gal1p	0
M_sucr	0
M_crn	0
M_adn	0
M_metsox_R__L	0
M_ump	0
M_23cump	0
M_fe3dcit	0
M_fald	0
M_hacolipa	0
M_ascb__L	0
M_pydx	0
M_alltn	0
M_cbi	0
M_ppal	0
M_tyrp	0
M_galt	0
M_gthrd	0
M_pnto__R	0
M_arab__L	0
M_gam6p	0
M_gsn	0
M_cys__D	0
M_feoxam_un	0
M_colipap	0
M_hdcea	0
M_acgal1p	0
M_isetac	0
M_thrp	0
M_mal__L	0
M_fecrm_un	0
M_23cgmp	0
M_ttrcyc	0
M_LalaLglu	0
M_dmso	0
M_cyan	0
M_2ddglcn	0
M_amp	0
M_pyr	0
M_fe3hox	0
M_csn	0
M_etha	0
M_23dappa	0
M_idon__L	0
M_mincyc	0
M_novbcn	0
M_lyx__L	0
M_23ccmp	0
M_14glucan	0
M_anhgm	0
M_dms	0
M_glyald	0
M_peamn	0
M_udpgal	0
M_tmao	0
M_h2o2	0
M_lipa	0
M_nac	0
M_orot	0
M_tsul	0
M_pydxn	0
M_imp	0
M_dha	0
M_no2	0
M_frulys	0
M_5dglcn	0
M_galctn__L	0
M_glyc2p	0
M_glcn	0
M_gua	0
M_lipa_cold	0
M_uacgam	0
M_feenter	0
M_xan	0
M_kdo2lipid4	0
M_psclys	0
M_glcr	0
M_enlipa	0
M_enter	0
M_rmn	0
M_halipa	0
M_dcmp	0
M_3hpppn	0
M_o16a4colipa	0
M_ocdcea	0
M_progly	0
M_gal_bD	0
M_so2	0
M_26dap__M	0
M_gdp	0
M_tcynt	0
M_galur	0
M_adocbl	0
M_feoxam	0
M_hxan	0
M_ethso3	0
M_taur	0
M_glyc__R	0
M_3amp	0
M_hg2	0
M_LalaDgluMdap	0
M_pser__L	0
M_acald	0
M_spmd	0
M_acolipa	0
M_ptrc	0
M_ppa	0
M_ddca	0
M_doxrbcn	0
M_LalaDgluMdapDala	0
M_cmp	0
M_cpgn	0
M_chtbs	0
M_mso3	0
M_dgmp	0
M_thm	0
M_lcts	0
M_maltpt	0
M_g1p	0
M_acser	0
M_inost	0
M_pacald	0
M_fe3hox_un	0
M_orn	0
M_akg	0
M_arbtn_fe3	0
M_gmp	0
M_melib	0
M_cd2	0
M_no	0
M_ala_B	0
M_thymd	0
M_crn__D	0
M_cynt	0
M_no3	0
M_o2s	0
M_udpglcur	0
M_acmana	0
M_15dap	0
M_4hoxpacd	0
M_duri	0
M_34dhpac	0
M_hxa	0
M_cpgn_un	0
M_for	0
M_rib__D	0
M_tartr__L	0
M_ocdca	0
M_glyc3p	0
M_12ppd__S	0
M_12ppd__R	0
M_fecrm	0
M_dimp	0
M_colipa	0
M_etoh	0
M_ade	0
M_aso3	0
M_succ	0
M_ttdcea	0
M_xylu__L	0
M_4abut	0
M_h2	0
M_ag	0
M_udpacgal	0
M_hdca	0
M_cytd	0
M_skm	0
M_galct__D	0
M_mal__D	0
M_ala__L	0
M_acgam1p	0
M_din	0
M_xmp	0
M_btn	0
M_23camp	0
M_urea	0
M_met__D	0
M_g6p	0
M_3gmp	0
M_glyclt	0
M_h2s	0
M_dtmp	0
M_gbbtn	0
M_uri	0
M_octa	0
M_3hpp	0
M_ttdca	0
M_ser__D	0
M_gthox	0
M_manglyc	0
M_minohp	0
M_gtp	0
M_chol	0
M_thym	0
M_fuc__L	0
M_butso3	0
M_glcur1p	0
