R_ATPS4m_enzyme	66600	66600
R_DHFR_enzyme	89280	89280
R_PPPGO3_enzyme	236.70000000000002	236.70000000000002
R_DTMPK_enzyme	32040	32040
R_CSND_enzyme	50220	50220
R_KDOPP_enzyme	1513.8	1513.8
R_CAT_enzyme	22701600	22701600
R_ADA_enzyme	41400	41400
R_TMDPP_enzyme	42840	42840
R_NNATr_enzyme	16380	16380
R_GPDDA2_enzyme	6480	6480
R_GPDDA3_enzyme	10008	10008
R_GLNTRS_enzyme	10800	10800
R_GPDDA4_enzyme	10008	10008
R_ACALD_enzyme	51660	51660
R_GPDDA1_enzyme	6480	6480
R_HISTD_enzyme	5220	5220
R_OCTDPS_enzyme	3609	3609
R_NMNAT_enzyme	16380	16380
R_TYRTA_enzyme	102600	102600
R_GLYOX_enzyme	1421640	1421640
R_ALDH_enzyme	51120	51120
R_TDPGDH_enzyme	158.39999999999998	158.39999999999998
R_CHRPL_enzyme	3447	3447
R_THRA_enzyme	2627.1	2627.1
R_PYK3_enzyme	11534400	11534400
R_PYK2_enzyme	11534400	11534400
R_TAh_enzyme	80280	80280
R_DHQS_enzyme	9000	9000
R_ARGTRS_enzyme	93600	93600
R_FDH_enzyme	22986	22986
R_ADK1_enzyme	585243	585243
R_GMPS_enzyme	8604	8604
R_ACODA_enzyme	13680000	13680000
R_KDOCT2_enzyme	56520	56520
R_GLUTRS_enzyme	1224	1224
R_GLUTRR_enzyme	504.00000000000006	504.00000000000006
R_NTPTP1_enzyme	14400000	14400000
R_PPAKr_enzyme	397800	397800
R_CBL1abc_enzyme	5004	5004
R_HOPNTAL_enzyme	6444	6444
R_LEUTRS_enzyme	14759.999999999998	14759.999999999998
R_MTHFR2_enzyme	102960	102960
R_MDH_enzyme	2235600	2235600
R_FBA_enzyme	14490.000000000002	14490.000000000002
R_PERD_enzyme	4320.000000000001	4320.000000000001
R_AKGDH_enzyme	738000	738000
R_ALATRS_enzyme	4320	4320
R_PHETRS_enzyme	6192	6192
R_LYSTRS_enzyme	3339	3339
R_FBP_enzyme	54900	54900
R_ADOCBLS_enzyme	2412	2412
R_GAM_enzyme	21384	21384
R_DCTPD_enzyme	4464	4464
R_ADPRDP_enzyme	32939.99999999999	32939.99999999999
R_THFAT_enzyme	68040	68040
R_XPPT_enzyme	36180	36180
R_ACACT1r_enzyme	18000000000	18000000000
R_CYSSADS_enzyme	43200	43200
R_DHR_enzyme	457200	457200
R_ADSK_enzyme	90162	90162
R_FCLT_enzyme	216	216
R_HACD5_enzyme	43.2	43.2
R_MOHMT_enzyme	2813.4	2813.4
R_BTS4_enzyme	25020.000900000003	25020.000900000003
R_UAAGDS_enzyme	4680	4680
R_AMID2_enzyme	111420	111420
R_TAUDO_enzyme	11340	11340
R_HACD1_enzyme	43.2	43.2
R_HACD2_enzyme	43.2	43.2
R_HACD4_enzyme	43.2	43.2
R_G6PDA_enzyme	1103400	1103400
R_PUNP7_enzyme	64439.99999999999	64439.99999999999
R_ALATA_D_enzyme	1080000	1080000
R_PUNP6_enzyme	52740	52740
R_PUNP5_enzyme	64439.99999999999	64439.99999999999
R_PUNP4_enzyme	52740	52740
R_PAPPT3_enzyme	19188	19188
R_PUNP3_enzyme	64439.99999999999	64439.99999999999
R_PUNP2_enzyme	64439.99999999999	64439.99999999999
R_PUNP1_enzyme	64439.99999999999	64439.99999999999
R_PNTK_enzyme	3672	3672
R_LCADi_enzyme	4860	4860
R_CBPS_enzyme	16200	16200
R_DAPDC_enzyme	16020	16020
R_UAGDP_enzyme	10944	10944
R_AMAOTr_enzyme	468	468
R_UPPRT_enzyme	2340	2340
R_LDHm_enzyme	432000	432000
R_PPCK_enzyme	2412	2412
R_ACHBS_enzyme	19692	19692
R_CHORS_enzyme	29.88	29.88
R_CHORM_enzyme	201600	201600
R_AOBUTDs_enzyme	14058	14058
R_IMPD_enzyme	9180	9180
R_SUCOAS_enzyme	12960	12960
R_BUPN_enzyme	11178	11178
R_SSALy_enzyme	35748	35748
R_KYN_enzyme	3438.0000000000005	3438.0000000000005
R_ACS_enzyme	362160	362160
R_FUM_enzyme	1944000	1944000
R_PPNCL_enzyme	3168	3168
R_TRPTRS_enzyme	19620	19620
R_G1SAT_enzyme	3420	3420
R_ASP1DC_enzyme	12870	12870
R_CYSTRS_enzyme	44640	44640
R_UAGAAT_enzyme	37800	37800
R_MCITS_enzyme	18216	18216
R_CPPPGO_enzyme	10.8	10.8
R_NDPK1_enzyme	136800	136800
R_NDPK2_enzyme	136800	136800
R_NDPK5_enzyme	136800	136800
R_NDPK6_enzyme	136800	136800
R_NDPK3_enzyme	136800	136800
R_NDPK4_enzyme	136800	136800
R_ASPTA_enzyme	108000	108000
R_NDPK7_enzyme	136800	136800
R_NDPK8_enzyme	136800	136800
R_ALPHNH_enzyme	40320	40320
R_NPHS_enzyme	149.4	149.4
R_GLYCTO1p_enzyme	10440.000000000002	10440.000000000002
R_SDPDS_enzyme	504000	504000
R_VALTRS_enzyme	37080	37080
R_SUCD1_enzyme	66240	66240
R_PYDXO_1_enzyme	51768	51768
R_CTPS2_enzyme	22319.999999999996	22319.999999999996
R_UAGCVT_enzyme	5273.999999999999	5273.999999999999
R_THRTRS_enzyme	79200	79200
R_PTA2_enzyme	432000	432000
R_HIBDkt_enzyme	43.2	43.2
R_TRPAS2_enzyme	9000	9000
R_GALCTD_enzyme	18720	18720
R_GRTT_enzyme	1242	1242
R_PYDXNO_enzyme	71640	71640
R_TDPDRE_enzyme	140400	140400
R_RNDR1_enzyme	46440	46440
R_RNDR2_enzyme	46440	46440
R_PC_enzyme	40500	40500
R_RNDR3_enzyme	46440	46440
R_VALTA_enzyme	47160	47160
R_RNDR4_enzyme	46440	46440
R_GF6PTA_enzyme	48078	48078
R_NTRLASE_enzyme	22446000	22446000
R_GALUi_enzyme	70740	70740
R_PPCOAC_enzyme	6336	6336
R_PPA2_enzyme	14220648	14220648
R_PPA_enzyme	1404000	1404000
R_RPI_enzyme	5421600	5421600
R_PYK_enzyme	11534400	11534400
R_RPE_enzyme	3132000	3132000
R_TRDR_enzyme	82080	82080
R_ACLS_enzyme	19692	19692
R_TREH_enzyme	716400	716400
R_GTPCI_enzyme	6.119999999999999	6.119999999999999
R_AHCYSNS_enzyme	4194	4194
R_XAND_enzyme	20412	20412
R_NADH16_enzyme	1625400	1625400
R_ALAR_enzyme	107820	107820
R_NADK_enzyme	27180	27180
R_ASPCT_enzyme	825660	825660
R_THRD_enzyme	158400	158400
R_PTAr_enzyme	1494000	1494000
R_GLYAT_enzyme	72	72
R_DHPD_enzyme	21600	21600
R_NNAM_enzyme	10260	10260
R_DPR_enzyme	90000	90000
R_E4PD_enzyme	664200	664200
R_OCT_enzyme	176400	176400
R_NTD9_enzyme	32184	32184
R_NTD8_enzyme	1080	1080
R_NTD5_enzyme	1080	1080
R_NTD4_enzyme	32184	32184
R_NTD7_enzyme	32184	32184
R_NTD6_enzyme	1080	1080
R_ADNCYC_enzyme	4606.200000000001	4606.200000000001
R_AMAA_enzyme	1440	1440
R_NTD1_enzyme	1080	1080
R_NTD2_enzyme	32184	32184
R_NTD3_enzyme	1080	1080
R_CBL_enzyme	84240	84240
R_ADPT_enzyme	18126	18126
R_G6PDH2r_enzyme	4050000	4050000
R_BZ12DOX_enzyme	1321200	1321200
R_NADDP_enzyme	154800	154800
R_OP4ENH_enzyme	217800	217800
R_G1PTT_enzyme	13320	13320
R_KAS14_enzyme	356.94	356.94
R_ICDHyr_enzyme	118800	118800
R_FALDH_enzyme	1980.0000000000002	1980.0000000000002
