Metabolite	Concentration
M_gln__L	1
M_galctn__D	1
M_tetdecacid	1
M_15dap	1
M_3hbz	1
M_glycolate	1
M_acac	1
M_fum	1
M_met__D	1
M_ac	1
M_octadecacid	1
M_HC00229	1
M_dcyt	1
M_rmn	1
M_cytd	1
M_lac__L	1
M_crn	1
M_thm	1
M_2hba	1
M_fe2	10
M_phe__L	1
M_2pg	1
M_val__L	1
M_thymd	1
M_ala__L	1
M_3hcinnm	1
M_mg2	10
M_idon__L	1
M_gbbtn	1
M_cit	1
M_dad_2	1
M_catechol	1
M_adn	1
M_glu__L	1
M_bz	1
M_gly	1
M_pi	1000
M_gsn	1
M_phenol	1
M_tsul	1
M_cobalt2	10
M_tartr	1
M_maltpt	1
M_cys__L	1
M_pyr	1
M_duri	1
M_icit	1
M_gua	1
M_acgam	1
M_spmd	1
M_csn	1
M_cl	10
M_adip	1
M_urocan	1
M_mlt	1
M_gam	1
M_k	10
M_mclact	1
M_phb	1
M_galt	1
M_asp__L	1
M_malth	1
M_dgsn	1
M_cbl1	1
M_met__L	1
M_fe3	10
M_cynt	1
M_uri	1
M_succ	1
M_4hbt	1
M_glcur	1
M_sbt__D	1
M_acald	1
M_tre	1
M_gensa	1
M_no2	1
M_urea	1
M_ade	1
M_meli	1
M_ascb__L	1
M_ura	1
M_asn__L	1
M_his__L	1
M_g6p	1
M_1btol	1
M_ins	1
M_pppn	1
M_ala__D	1
M_din	1
M_acmana	1
M_butn	1
M_mlttr	1
M_12ppd__S	1
M_2obut	1
M_so4	10
M_nac	1
M_ile__L	1
M_glyc3p	1
M_orn	1
M_tol	1
M_arg__L	1
M_3hpppn	1
M_acnam	1
M_aso3	1
M_thr__L	1
M_fru	3
M_fuc__L	1
M_rib__D	1
M_glyc	1
M_ccmuc	1
M_aobzac	1
M_galct__D	1
M_3pg	1
M_nmn	1
M_4abut	1
M_pro__L	1
M_arab__L	1
M_for	1
M_c160	1
M_4hphac	1
M_M02451	1
M_pac	1
M_fuc1p__L	1
M_nh4	10
M_bhb	1
M_anth	1
M_man6p	1
M_mnl	1
M_glx	1
M_4flthr	1
M_6chq	1
M_co2	1
M_acon	1
M_lys__L	1
M_na1	10
M_knt	1
M_4flrbz	1
M_ppa	1
M_bp23d	1
M_pnto__R	1
M_ptrc	1
M_o2	18.5
M_glcn	1
M_man	1
M_mal__L	1
M_taur	1
M_26dap__M	1
M_leu__L	1
M_2ddglcn	1
M_trp__L	1
M_lac__D	1
M_choline	1
M_ser__L	1
M_xan	1
M_glyn	1
M_34dhbz	1
M_glyald	1
M_lactose	1
M_c181	1
M_kn	1
M_etoh	1
M_glyb	1
M_indole	1
M_ser__D	1
M_tyr__L	1
M_no3	1
M_mobd	10
M_bzal	1
M_cresol	1
M_h2o	1000
M_hxan	1
M_alltn	1
M_h	100
M_4hbz	1
M_xtsn	1
