Metabolite	Concentration
M_gln__L	0
M_galctn__D	0
M_tetdecacid	0
M_15dap	0
M_3hbz	0
M_glycolate	0
M_acac	0
M_fum	0
M_met__D	0
M_ac	0
M_octadecacid	0
M_HC00229	0
M_dcyt	0
M_rmn	0
M_cytd	0
M_lac__L	0
M_crn	0
M_thm	0
M_2hba	0
M_fe2	10
M_phe__L	0
M_2pg	0
M_val__L	0
M_thymd	0
M_ala__L	0
M_3hcinnm	0
M_mg2	10
M_idon__L	0
M_gbbtn	0
M_cit	0
M_dad_2	0
M_catechol	0
M_adn	0
M_glu__L	0
M_bz	0
M_gly	0
M_pi	1000
M_gsn	0
M_phenol	0
M_tsul	0
M_cobalt2	10
M_tartr	0
M_maltpt	0
M_cys__L	0
M_pyr	0
M_duri	0
M_icit	0
M_gua	0
M_acgam	0
M_spmd	0
M_csn	0
M_cl	10
M_adip	0
M_urocan	0
M_mlt	0
M_gam	0
M_k	10
M_mclact	0
M_phb	0
M_galt	0
M_asp__L	0
M_malth	0
M_dgsn	0
M_cbl1	0
M_met__L	0
M_fe3	10
M_cynt	0
M_uri	0
M_succ	0
M_4hbt	0
M_glcur	0
M_sbt__D	0
M_acald	0
M_tre	0
M_gensa	0
M_no2	0
M_urea	0
M_ade	0
M_meli	0
M_ascb__L	0
M_ura	0
M_asn__L	0
M_his__L	0
M_g6p	0
M_1btol	0
M_ins	0
M_pppn	0
M_ala__D	0
M_din	0
M_acmana	0
M_butn	0
M_mlttr	0
M_12ppd__S	0
M_2obut	0
M_so4	10
M_nac	0
M_ile__L	0
M_glyc3p	0
M_orn	0
M_tol	0
M_arg__L	0
M_3hpppn	0
M_acnam	0
M_aso3	0
M_thr__L	0
M_fru	3
M_fuc__L	0
M_rib__D	0
M_glyc	0
M_ccmuc	0
M_aobzac	0
M_galct__D	0
M_3pg	0
M_nmn	0
M_4abut	0
M_pro__L	0
M_arab__L	0
M_for	0
M_c160	0
M_4hphac	0
M_M02451	0
M_pac	0
M_fuc1p__L	0
M_nh4	10
M_bhb	0
M_anth	0
M_man6p	0
M_mnl	0
M_glx	0
M_4flthr	0
M_6chq	0
M_co2	0
M_acon	0
M_lys__L	0
M_na1	10
M_knt	0
M_4flrbz	0
M_ppa	0
M_bp23d	0
M_pnto__R	0
M_ptrc	0
M_o2	18.5
M_glcn	0
M_man	0
M_mal__L	0
M_taur	0
M_26dap__M	0
M_leu__L	0
M_2ddglcn	0
M_trp__L	0
M_lac__D	0
M_choline	0
M_ser__L	0
M_xan	0
M_glyn	0
M_34dhbz	0
M_glyald	0
M_lactose	0
M_c181	0
M_kn	0
M_etoh	0
M_glyb	0
M_indole	0
M_ser__D	0
M_tyr__L	0
M_no3	0
M_mobd	10
M_bzal	0
M_cresol	0
M_h2o	1000
M_hxan	0
M_alltn	0
M_h	100
M_4hbz	0
M_xtsn	0
