Enzyme	Concentration
R_EX_gln__L_e_enzyme	0
R_EX_galctn__D_e_enzyme	0
R_EX_c140_e_enzyme	0
R_EX_15dap_e_enzyme	0
R_EX_3hbenzot_e_enzyme	0
R_EX_glycolate_e_enzyme	0
R_EX_acac_e_enzyme	0
R_EX_fum_e_enzyme	0
R_EX_met__D_e_enzyme	0
R_EX_ac_e_enzyme	0
R_EX_c180_e_enzyme	0
R_EX_imal_e_enzyme	0
R_EX_dc_e_enzyme	0
R_EX_rmn_e_enzyme	0
R_EX_cytd_e_enzyme	0
R_EX_lac__L_e_enzyme	0
R_EX_crn_e_enzyme	0
R_EX_thiamin_e_enzyme	0
R_EX_2hba_e_enzyme	0
R_EX_fe2_e_enzyme	0
R_EX_BIOMASS_c_enzyme	0
R_EX_phe__L_e_enzyme	0
R_EX_2pg_e_enzyme	0
R_EX_val__L_e_enzyme	0
R_EX_thymd_e_enzyme	0
R_EX_ala__L_e_enzyme	0
R_EX_3hcinnm_e_enzyme	0
R_EX_mg2_e_enzyme	0
R_EX_idon_e_enzyme	0
R_EX_gbbtn_e_enzyme	0
R_EX_cit_e_enzyme	0
R_EX_da_e_enzyme	0
R_EX_catech_e_enzyme	0
R_EX_adn_e_enzyme	0
R_EX_glu__L_e_enzyme	0
R_EX_benzot_e_enzyme	0
R_EX_gly__L_e_enzyme	0
R_EX_pi_e_enzyme	0
R_EX_gsn_e_enzyme	0
R_EX_phenol_e_enzyme	0
R_EX_tsul_e_enzyme	0
R_EX_cobalt2_e_enzyme	0
R_EX_tartr_e_enzyme	0
R_EX_maltpt_e_enzyme	0
R_EX_cys__L_e_enzyme	0
R_EX_pyr_e_enzyme	0
R_EX_du_e_enzyme	0
R_EX_icit_e_enzyme	0
R_EX_gn_e_enzyme	0
R_EX_naga_e_enzyme	0
R_EX_sprmd_e_enzyme	0
R_EX_ct_e_enzyme	0
R_EX_cl_e_enzyme	0
R_EX_adip_e_enzyme	0
R_EX_urocan_e_enzyme	0
R_EX_mlt_e_enzyme	0
R_EX_gam_e_enzyme	0
R_EX_k_e_enzyme	0
R_EX_mclact_e_enzyme	0
R_EX_pbhb_e_enzyme	0
R_EX_galt_e_enzyme	0
R_EX_asp__L_e_enzyme	0
R_EX_mlthx_e_enzyme	0
R_EX_dg_e_enzyme	0
R_EX_cbl1_e_enzyme	0
R_EX_met__L_e_enzyme	0
R_EX_fe3_e_enzyme	0
R_EX_cynt_e_enzyme	0
R_EX_uri_e_enzyme	0
R_EX_succ_e_enzyme	0
R_EX_4hbt_e_enzyme	0
R_EX_dgluc_e_enzyme	0
R_EX_sot_e_enzyme	0
R_EX_acal_e_enzyme	0
R_EX_tre_e_enzyme	0
R_EX_gensa_e_enzyme	0
R_EX_no2_e_enzyme	0
R_EX_urea_e_enzyme	0
R_EX_ad_e_enzyme	0
R_EX_meli_e_enzyme	0
R_EX_ascb_e_enzyme	0
R_EX_ura_e_enzyme	0
R_EX_asn__L_e_enzyme	0
R_EX_his__L_e_enzyme	0
R_EX_g6p_e_enzyme	0
R_EX_1boh_e_enzyme	0
R_EX_ins_e_enzyme	0
R_EX_pppn_e_enzyme	0
R_EX_dala_e_enzyme	0
R_EX_din_e_enzyme	0
R_EX_nadma_e_enzyme	0
R_EX_butn_e_enzyme	0
R_EX_mlttr_e_enzyme	0
R_EX_12ppd__S_e_enzyme	0
R_EX_obut_e_enzyme	0
R_EX_so4_e_enzyme	0
R_EX_nac_e_enzyme	0
R_EX_ile__L_e_enzyme	0
R_EX_glyc3p_e_enzyme	0
R_EX_orn_e_enzyme	0
R_EX_tolen_e_enzyme	0
R_EX_arg__L_e_enzyme	0
R_EX_3hpppn_e_enzyme	0
R_EX_naneu_e_enzyme	0
R_EX_aso3_e_enzyme	0
R_EX_thr__L_e_enzyme	0
R_EX_fru_e_enzyme	0
R_EX_fuc_e_enzyme	0
R_EX_rib_e_enzyme	0
R_EX_gl_e_enzyme	0
R_EX_ccmuc_e_enzyme	0
R_EX_aobzac_e_enzyme	0
R_EX_dgal_e_enzyme	0
R_EX_3pg_e_enzyme	0
R_EX_nmn_e_enzyme	0
R_EX_gaba_e_enzyme	0
R_EX_pro__L_e_enzyme	0
R_EX_larabinose_e_enzyme	0
R_EX_formate_e_enzyme	0
R_EX_c160_e_enzyme	0
R_EX_4hpheac_e_enzyme	0
R_EX_mltttr_e_enzyme	0
R_EX_pac_e_enzyme	0
R_EX_fuc1p_e_enzyme	0
R_EX_nh4_e_enzyme	0
R_EX_r3hbn_e_enzyme	0
R_EX_an_e_enzyme	0
R_EX_man6p_e_enzyme	0
R_EX_mnt_e_enzyme	0
R_EX_glx_e_enzyme	0
R_EX_4flthr_e_enzyme	0
R_EX_6chq_e_enzyme	0
R_EX_co2_e_enzyme	0
R_EX_acon__C_e_enzyme	0
R_EX_lys__L_e_enzyme	0
R_EX_na_e_enzyme	0
R_EX_knt_e_enzyme	0
R_EX_4flrbz_e_enzyme	0
R_EX_ppa_e_enzyme	0
R_EX_bp23d_e_enzyme	0
R_EX_pnto_e_enzyme	0
R_EX_ptrc_e_enzyme	0
R_EX_o2_e_enzyme	0
R_EX_gluc_e_enzyme	0
R_EX_man_e_enzyme	0
R_EX_mal_e_enzyme	0
R_EX_taur_e_enzyme	0
R_EX_26dap__M_e_enzyme	0
R_EX_leu__L_e_enzyme	0
R_EX_kdg_e_enzyme	0
R_EX_trp__L_e_enzyme	0
R_EX_lac__D_e_enzyme	0
R_EX_choline_e_enzyme	0
R_EX_ser__L_e_enzyme	0
R_EX_xan_e_enzyme	0
R_EX_glyn_e_enzyme	0
R_EX_34dhb_e_enzyme	0
R_EX_t3_e_enzyme	0
R_EX_lactose_e_enzyme	0
R_EX_c181_e_enzyme	0
R_EX_kn_e_enzyme	0
R_EX_eth_e_enzyme	0
R_EX_glyb_e_enzyme	0
R_EX_indole_e_enzyme	0
R_EX_dser_e_enzyme	0
R_EX_tyr__L_e_enzyme	0
R_EX_no3_e_enzyme	0
R_EX_mobd_e_enzyme	0
R_EX_bzald_e_enzyme	0
R_EX_4cresol_e_enzyme	0
R_EX_h2o_e_enzyme	0
R_EX_hyxn_e_enzyme	0
R_EX_alltn_e_enzyme	0
R_EX_h_e_enzyme	0
R_EX_4hb_e_enzyme	0
R_EX_xtsine_e_enzyme	0
R_UNSMONO_enzyme	0.0
R_UNSMONO_duplicate_2_enzyme	0.0
R_ATPS4m_enzyme	0.0
R_OPHHX_enzyme	0.0
R_OCPPH1_enzyme	0.0
R_DHFR_enzyme	1.855779471799731e-07
R_OPHHX3_enzyme	0.0
R_DHFR2_enzyme	1.8343902064797842e-05
R_DHFR3_enzyme	0.0
R_DBTS_enzyme	0.0
R_TARTRt7_enzyme	0
R_ARBabc_enzyme	0.0
R_HACDH_enzyme	0
R_PPPGO3_enzyme	0.0
R_PPPGO3_duplicate_2_enzyme	0.0
R_DTMPK_enzyme	1.8238357333391904e-07
R_KDO8PS_enzyme	1.900652438402176e-07
R_ADNK_enzyme	0
R_CSND_enzyme	0.0
R_KDOPP_enzyme	0
R_BAPT2_enzyme	0.0
R_COBALTt5_enzyme	0
R_4HPHEAO_enzyme	0
R_4FLTHRt_enzyme	0
R_CAT_enzyme	0.0
R_CAT_duplicate_2_enzyme	0.0
R_GLYALDt_enzyme	0
R_CCMUCt_enzyme	0
R_ADA_enzyme	0.0
R_ADA_duplicate_2_enzyme	0.0
R_TMDPP_enzyme	0.0
R_NNATr_enzyme	0.0
R_HIBHrm_enzyme	0.0
R_HIBHrm_duplicate_2_enzyme	0.0
R_HIBHrm_duplicate_3_enzyme	0.0
R_HIBHrm_duplicate_4_enzyme	0.0
R_HIBHrm_duplicate_5_enzyme	0.0
R_HIBHrm_duplicate_6_enzyme	0.0
R_HIBHrm_duplicate_7_enzyme	0.0
R_HIBHrm_duplicate_8_enzyme	0.0
R_HIBHrm_duplicate_9_enzyme	0.0
R_HIBHrm_duplicate_10_enzyme	0.0
R_HIBHrm_duplicate_11_enzyme	0.0
R_HIBHrm_duplicate_12_enzyme	0.0
R_HIBHrm_duplicate_13_enzyme	0.0
R_HIBHrm_duplicate_14_enzyme	0.0
R_HIBHrm_duplicate_15_enzyme	0.0
R_HIBHrm_duplicate_16_enzyme	0.0
R_HIBHrm_duplicate_17_enzyme	0.0
R_HIBHrm_duplicate_18_enzyme	0.0
R_HIBHrm_duplicate_19_enzyme	0.0
R_3HBZt_enzyme	0
R_UAMAGS_enzyme	4.791560769081117e-07
