Reaction	Flux
R_EX_gln__L_e	0.0
R_EX_galctn__D_e	0.0
R_EX_c140_e	0.0
R_EX_15dap_e	0.0
R_EX_3hbenzot_e	0.0
R_EX_glycolate_e	0.0
R_EX_acac_e	0.0
R_EX_fum_e	0.0
R_EX_met__D_e	0.0
R_EX_ac_e	0.0
R_EX_c180_e	0.0
R_EX_imal_e	0.0
R_EX_dc_e	0.0
R_EX_rmn_e	0.0
R_EX_cytd_e	0.0
R_EX_lac__L_e	0.0
R_EX_crn_e	0.0
R_EX_thiamin_e	0.0
R_EX_2hba_e	0.0
R_EX_fe2_e	0.0
R_EX_BIOMASS_c	0.0
R_EX_phe__L_e	0.0
R_EX_2pg_e	0.0
R_EX_val__L_e	0.0
R_EX_thymd_e	0.0
R_EX_ala__L_e	0.0
R_EX_3hcinnm_e	0.0
R_EX_mg2_e	-1000.0
R_EX_idon_e	0.0
R_EX_gbbtn_e	0.0
R_EX_cit_e	0.0
R_EX_da_e	0.0
R_EX_catech_e	0.0
R_EX_adn_e	0.0
R_EX_glu__L_e	0.0
R_EX_benzot_e	0.0
R_EX_gly__L_e	0.0
R_EX_pi_e	-1000.0
R_EX_gsn_e	0.0
R_EX_phenol_e	0.0
R_EX_tsul_e	0.0
R_EX_cobalt2_e	-1000.0
R_EX_tartr_e	0.0
R_EX_maltpt_e	0.0
R_EX_cys__L_e	0.0
R_EX_pyr_e	0.0
R_EX_du_e	0.0
R_EX_icit_e	0.0
R_EX_gn_e	0.0
R_EX_naga_e	0.0
R_EX_sprmd_e	0.0
R_EX_ct_e	0.0
R_EX_cl_e	-1000.0
R_EX_adip_e	0.0
R_EX_urocan_e	0.0
R_EX_mlt_e	0.0
R_EX_gam_e	0.0
R_EX_k_e	-1000.0
R_EX_mclact_e	0.0
R_EX_pbhb_e	0.0
R_EX_galt_e	0.0
R_EX_asp__L_e	0.0
R_EX_mlthx_e	0.0
R_EX_dg_e	0.0
R_EX_cbl1_e	0.0
R_EX_met__L_e	0.0
R_EX_fe3_e	-1000.0
R_EX_cynt_e	0.0
R_EX_uri_e	0.0
R_EX_succ_e	0.0
R_EX_4hbt_e	0.0
R_EX_dgluc_e	0.0
R_EX_sot_e	0.0
R_EX_acal_e	0.0
R_EX_tre_e	0.0
R_EX_gensa_e	0.0
R_EX_no2_e	0.0
R_EX_urea_e	0.0
R_EX_ad_e	0.0
R_EX_meli_e	0.0
R_EX_ascb_e	0.0
R_EX_ura_e	0.0
R_EX_asn__L_e	0.0
R_EX_his__L_e	0.0
R_EX_g6p_e	0.0
R_EX_1boh_e	0.0
R_EX_ins_e	0.0
R_EX_pppn_e	0.0
R_EX_dala_e	0.0
R_EX_din_e	0.0
R_EX_nadma_e	0.0
R_EX_butn_e	0.0
R_EX_mlttr_e	0.0
R_EX_12ppd__S_e	0.0
R_EX_obut_e	0.0
R_EX_so4_e	-1000.0
R_EX_nac_e	0.0
R_EX_ile__L_e	0.0
R_EX_glyc3p_e	0.0
R_EX_orn_e	0.0
R_EX_tolen_e	0.0
R_EX_arg__L_e	0.0
R_EX_3hpppn_e	0.0
R_EX_naneu_e	0.0
R_EX_aso3_e	0.0
R_EX_thr__L_e	0.0
R_EX_fru_e	-1000.0
R_EX_fuc_e	0.0
R_EX_rib_e	0.0
R_EX_gl_e	0.0
R_EX_ccmuc_e	0.0
R_EX_aobzac_e	0.0
R_EX_dgal_e	0.0
R_EX_3pg_e	0.0
R_EX_nmn_e	0.0
R_EX_gaba_e	0.0
R_EX_pro__L_e	0.0
R_EX_larabinose_e	0.0
R_EX_formate_e	0.0
R_EX_c160_e	0.0
R_EX_4hpheac_e	0.0
R_EX_mltttr_e	0.0
R_EX_pac_e	0.0
R_EX_fuc1p_e	0.0
R_EX_nh4_e	-1000.0
R_EX_r3hbn_e	0.0
R_EX_an_e	0.0
R_EX_man6p_e	0.0
R_EX_mnt_e	0.0
R_EX_glx_e	0.0
R_EX_4flthr_e	0.0
R_EX_6chq_e	0.0
R_EX_co2_e	0.0
R_EX_acon__C_e	0.0
R_EX_lys__L_e	0.0
R_EX_na_e	-1000.0
R_EX_knt_e	0.0
R_EX_4flrbz_e	0.0
R_EX_ppa_e	0.0
R_EX_bp23d_e	0.0
R_EX_pnto_e	0.0
R_EX_ptrc_e	0.0
R_EX_o2_e	-1000.0
R_EX_gluc_e	0.0
R_EX_man_e	0.0
R_EX_mal_e	0.0
R_EX_taur_e	0.0
R_EX_26dap__M_e	0.0
R_EX_leu__L_e	0.0
R_EX_kdg_e	0.0
R_EX_trp__L_e	0.0
R_EX_lac__D_e	0.0
R_EX_choline_e	0.0
R_EX_ser__L_e	0.0
R_EX_xan_e	0.0
R_EX_glyn_e	0.0
R_EX_34dhb_e	0.0
R_EX_t3_e	0.0
R_EX_lactose_e	0.0
R_EX_c181_e	0.0
R_EX_kn_e	0.0
R_EX_eth_e	0.0
R_EX_glyb_e	0.0
R_EX_indole_e	0.0
R_EX_dser_e	0.0
R_EX_tyr__L_e	0.0
R_EX_no3_e	0.0
R_EX_mobd_e	-1000.0
R_EX_bzald_e	0.0
R_EX_4cresol_e	0.0
R_EX_h2o_e	-1000.0
R_EX_hyxn_e	0.0
R_EX_alltn_e	0.0
R_EX_h_e	-1000.0
R_EX_4hb_e	0.0
R_EX_xtsine_e	0.0
R_UNSMONO	0.0
R_UNSMONO_duplicate_2	0.0
R_ATPS4m	0.0
R_OPHHX	0.0
R_OCPPH1	0.0
R_DHFR	0.03711558943599462
R_OPHHX3	0.0
R_DHFR2	-3.6687804129595682
R_DHFR3	0.0
R_DBTS	0.0
R_TARTRt7	0.0
R_ARBabc	0.0
R_HACDH	0.0
R_PPPGO3	0.0
R_PPPGO3_duplicate_2	0.0
R_DTMPK	0.0364767146667838
R_KDO8PS	0.03801304876804352
R_ADNK	0.9993505293279921
R_CSND	0.0
R_KDOPP	0.03801304876804352
R_BAPT2	0.0
R_COBALTt5	-5.1020121341690035e-09
R_4HPHEAO	0.0
R_4FLTHRt	0.0
R_CAT	0.0
R_CAT_duplicate_2	0.0
R_GLYALDt	-0.0
R_CCMUCt	0.0
R_ADA	0.0
R_ADA_duplicate_2	0.0
R_TMDPP	0.0
R_NNATr	0.0
R_HIBHrm	0.0
R_HIBHrm_duplicate_2	0.0
R_HIBHrm_duplicate_3	0.0
R_HIBHrm_duplicate_4	0.0
R_HIBHrm_duplicate_5	0.0
R_HIBHrm_duplicate_6	0.0
R_HIBHrm_duplicate_7	0.0
R_HIBHrm_duplicate_8	0.0
R_HIBHrm_duplicate_9	0.0
R_HIBHrm_duplicate_10	0.0
R_HIBHrm_duplicate_11	0.0
R_HIBHrm_duplicate_12	0.0
R_HIBHrm_duplicate_13	0.0
R_HIBHrm_duplicate_14	0.0
R_HIBHrm_duplicate_15	0.0
R_HIBHrm_duplicate_16	0.0
R_HIBHrm_duplicate_17	0.0
R_HIBHrm_duplicate_18	0.0
R_HIBHrm_duplicate_19	0.0
R_3HBZt	0.0
R_UAMAGS	0.09583121538162231
R_2HBAt	0.0
R_4HPHEA2	0.0
R_GPDDA2	0.0
R_GPDDA2_duplicate_2	0.0
R_THRD_L	0.0
R_THRD_L_duplicate_2	0.0
R_HBZOPT	0.0
R_4HPHEA1	0.0
R_GPDDA3	0.0
R_GPDDA3_duplicate_2	0.0
R_HOMOGD	0.0
R_GLNTRS	0.23149628486738869
R_GPDDA4	0.0
R_GPDDA4_duplicate_2	0.0
R_ACALD	0.0
R_ACALD_duplicate_2	0.0
R_ACALD_duplicate_3	0.0
R_ACALD_duplicate_4	0.0
R_GPDDA5	0.0
R_GPDDA5_duplicate_2	0.0
R_MELIBt2	0.0
R_2H4HMBZP	0.0
R_2H4HMBZP_duplicate_2	0.0
R_2H4HMBZP_duplicate_3	0.0
R_2H4HMBZP_duplicate_4	0.0
R_2H4HMBZP_duplicate_5	0.0
R_2H4HMBZP_duplicate_6	0.0
R_2H4HMBZP_duplicate_7	0.0
R_GPDDA1	0.0
R_GPDDA1_duplicate_2	0.0
R_HISTD	0.0
R_HISTD_duplicate_2	0.0
R_G1PCYTF	0.0
R_CYTBD	0.0
R_OCTDPS	0.0
R_INDOLEt2r	76.0615871979031
R_NMNAT	0.027632249579546162
R_XTSNtr	0.0
R_IMPC	0.0
R_TYRTA	0.0
R_TYRTA_duplicate_2	0.0
R_GLYOX	0.0
R_GLYOX_duplicate_2	0.0
R_GLYOX_duplicate_3	0.0
R_GLYOX_duplicate_4	0.0
R_GLYOX_duplicate_5	0.0
R_GLYOX_duplicate_6	0.0
R_4HPHED2	0.0
R_ALDH	0.0
R_ALDH_duplicate_2	0.0
R_ALDH_duplicate_3	0.0
R_ALDH_duplicate_4	0.0
R_ALDH_duplicate_5	0.0
R_ALDH_duplicate_6	0.0
R_ALDH_duplicate_7	0.0
R_ALDH_duplicate_8	0.0
R_ALDH_duplicate_9	0.0
R_ALDH_duplicate_10	0.0
R_ALDH_duplicate_11	0.0
R_ALDH_duplicate_12	0.0
R_ALDH_duplicate_13	0.0
R_ALDH_duplicate_14	0.0
R_4HPHED1	0.0
R_TDPGDH	0.0
R_TDPGDH_duplicate_2	0.0
R_TDPGDH_duplicate_3	0.0
R_TDPGDH_duplicate_4	0.0
R_CHRPL	0.0
R_THRAD2	0.0
R_THRA	0.0
R_PYK3	0.0
R_PYK3_duplicate_2	0.0
R_PYK3_duplicate_3	0.0
R_PYK1	0.0
R_PYK1_duplicate_2	0.0
R_PYK1_duplicate_3	0.0
R_PYK2	0.0
R_PYK2_duplicate_2	0.0
R_PYK2_duplicate_3	0.0
R_TAh	-0.02280782926082611
R_DHQS	0.0006388747692097942
R_PPPNDO	0.0
R_SULFR	0.0
R_DB4PS	0.0
R_DB4PS_duplicate_2	0.0
R_DB4PS_duplicate_3	1.5867257737290332e-06
R_ARGTRS	0.44396726160902716
R_PHEMEAS	0.0
R_PHOXDR	0.0
R_PHOXDR_duplicate_2	0.0
R_PHOXDR_duplicate_3	0.0
R_GLCP	0.0
R_2BHPPPH	0.0
R_2BHPPPH_duplicate_2	0.0
R_2BHPPPH_duplicate_3	0.0
R_2BHPPPH_duplicate_4	0.0
R_FMNAT	7.653018201265738e-07
R_NH4t	76.12094091290807
R_FDH	0.0
R_FDH_duplicate_2	0.0
R_FDH_duplicate_3	0.0
R_FDH_duplicate_4	0.0
R_FDH_duplicate_5	0.0
R_FDH_duplicate_6	0.0
R_ADK3	-12.735530117243302
R_ANTOXDR	0.0
R_ANTOXDR_duplicate_2	0.0
R_ANTOXDR_duplicate_3	0.0
R_ADK4	0.0
R_ADK1	11.52714249597569
R_BTPT2	0.0
R_BTPT1	0.0
R_SULALDAC	0.0
R_GALTpts	0.0
R_34DHDHF	0.0
R_34DHDHF_duplicate_2	0.0
R_CYSabc	0.05119663812551373
R_CYSabc_duplicate_2	0.0
R_CYSabc_duplicate_3	0.0
R_CYSabc_duplicate_4	0.0
R_CYSabc_duplicate_5	0.0
R_CYSabc_duplicate_6	0.0
R_ACP1p	0.0
R_ACP1p_duplicate_2	0.0
R_SALCH1	0.0
R_SALCH1_duplicate_2	0.0
R_SALCH1_duplicate_3	0.0
R_SALCH1_duplicate_4	0.0
R_SALCH1_duplicate_5	0.0
R_GMPS	0.0
R_DGSNt2	0.0
R_ACODA	0.0
R_ACODA_duplicate_2	0.0
R_KDOCT2	0.03801304876804352
R_SALCH5	0.0
R_SALCH5_duplicate_2	0.0
R_SALCH5_duplicate_3	0.0
R_SALCH5_duplicate_4	0.0
R_SALCH5_duplicate_5	0.0
R_SALCH4	0.0
R_SALCH4_duplicate_2	0.0
R_SALCH4_duplicate_3	0.0
R_SALCH4_duplicate_4	0.0
R_SALCH4_duplicate_5	0.0
R_SALCH3	0.0
R_SALCH3_duplicate_2	0.0
R_SALCH3_duplicate_3	0.0
R_SALCH3_duplicate_4	0.0
R_SALCH3_duplicate_5	0.0
R_SALCH2	0.0
R_SALCH2_duplicate_2	0.0
R_SALCH2_duplicate_3	0.0
R_SALCH2_duplicate_4	0.0
R_SALCH2_duplicate_5	0.0
R_BTPT3	0.0
R_GLUTRS	0.3740505601804702
R_GLUTRS_duplicate_2	0.0
R_GLUTRR	0.0
R_SLFR	0.0
R_SLFR_duplicate_2	0.0
R_NTPTP1	0.0
R_CARSA	0.0
R_LPD5	0.0
R_LPD5_duplicate_2	0.0
R_LPD5_duplicate_3	0.0
R_LPD5_duplicate_4	0.0
R_NUTPTP2	0.0
R_2HOHPHDB	0.0
R_H2Ot	-88.63284823669414
R_PPAKr	0.0
R_PPAKr_duplicate_2	0.0
R_CBL1abc	0.0
R_PTRCt2	0.44396726160902716
R_HOPNTAL	0.0
R_HOPNTAL_duplicate_2	0.0
R_HOPNTAL_duplicate_3	0.0
R_METTHFD	0.0
R_ANTHMN1	0.0
R_LEUTRS	0.5718031454065317
R_ANTHMN2	0.0
R_MTHFR2	0.0
R_MDH	0.0
R_MDH_duplicate_2	0.0
R_DHDPS	0.0
R_DHDPS_duplicate_2	0.0
R_DHDPS_duplicate_3	0.0
R_DHDPS_duplicate_4	0.0
R_BZALt	0.0
R_BPHEDO1	0.0
R_MDH2	0.0
R_BPHEDO2	0.0
R_FBA	0.0
R_FBA_duplicate_2	0.0
R_FBA_duplicate_3	0.0
R_FBA_duplicate_4	0.0
R_PERD	0.0
R_UGLYCH	0.0
R_AKGDH	0.0
R_AKGDH_duplicate_2	0.0
R_AKGDH_duplicate_3	0.0
R_AKGDH_duplicate_4	0.0
R_ILEtr	0.3032130276469867
R_ALATRS	0.7759203287881852
R_MECDPDHT	0.0
R_PHETRS	0.2006918572092998
R_FLVRx	0.0
R_FLVRx_duplicate_2	0.0
R_HYDRTS	0.0
R_HYDRTS_duplicate_2	0.0
R_HYDRTS_duplicate_3	0.0
R_HYDRTS_duplicate_4	0.0
R_HYDRTS_duplicate_5	0.0
R_HYDRTS_duplicate_6	0.0
R_HYDRTS_duplicate_7	0.0
R_PTRCabc	0.0
R_PTRCabc_duplicate_2	0.0
R_GALCTtr	0.0
R_CHCOAL	0.0
R_CHCOAL_duplicate_2	0.0
R_MALTTRabc	0.0
R_LYSTRS	0.30310861134785805
R_4FLRBZt	0.0
R_SPMDabc	0.011180308461189269
R_SPMDabc_duplicate_2	0.0
R_G5SD	0.0
R_KYNATESYN	0.0
R_FBP	0.0
R_FBP_duplicate_2	0.0
R_FBP_duplicate_3	0.0
R_ACt2r	-9.008116296698555
R_ADOCBLS	0.0
R_GGMT2	0.0
R_GGMT2_duplicate_2	0.0
R_GGMT2_duplicate_3	0.0
R_GGMT2_duplicate_4	0.0
R_GGMT1	0.0
R_GGMT1_duplicate_2	0.0
R_GGMT1_duplicate_3	0.0
R_GGMT1_duplicate_4	0.0
R_GAM	0.0
R_GAM_duplicate_2	0.0
R_GLUN2	0.0
R_GLUN2_duplicate_2	0.0
R_MNAO15	0.0
R_LPS	0.05430435538291931
R_CHLtr	0.0
R_DCTPD	0.0
R_DCTPDA2	0.0
R_ADPRDP	0.0
R_GLCURt2r	0.0
R_THFAT	0.0
R_THFAT_duplicate_2	0.0
R_MACACI	0.0
R_FORTF	0.0
R_OMMBZH	0.0
R_G6Pt6_2	0.01520521950721741
R_XPPT	0.0
R_ACACT1r	0.0
R_ACACT1r_duplicate_2	0.0
R_ACACT1r_duplicate_3	0.0
R_ACACT1r_duplicate_4	0.0
R_ACACT1r_duplicate_5	0.0
R_ACACT1r_duplicate_6	0.0
R_ACACT1r_duplicate_7	0.0
R_ACACT1r_duplicate_8	0.0
R_ACACT1r_duplicate_9	0.0
R_ACACT1r_duplicate_10	0.0
R_ACACT1r_duplicate_11	0.0
R_ACACT1r_duplicate_12	0.0
R_ACACT1r_duplicate_13	0.0
R_ACACT1r_duplicate_14	0.0
R_ACACT1r_duplicate_15	0.0
R_ACACT1r_duplicate_16	0.0
R_ACACT1r_duplicate_17	0.0
R_ACACT1r_duplicate_18	0.0
R_ACACT1r_duplicate_19	0.0
R_ACACT1r_duplicate_20	0.0
R_CYSSADS	0.0
R_HTTOG	0.0
R_SHCHCC	0.0
R_DHR	0.0
R_DHR_duplicate_2	0.0
R_CATOCS	0.0
R_PPGS	0.02972684301137924
R_GENDO	0.0
R_HATRAZE2	0.0
R_ADSK	0.0
R_FCLT	0.0
R_HATRAZE1	0.0
R_TRPD	0.0
R_TRPD_duplicate_2	0.0
R_ADSLFK2	0.0
R_HACD5	0.0
R_HACD5_duplicate_2	0.0
R_HACD5_duplicate_3	0.0
R_HACD5_duplicate_4	0.0
R_HACD5_duplicate_5	0.0
R_HACD5_duplicate_6	0.0
R_HACD5_duplicate_7	0.0
R_UNAMPLA	0.09583121538162231
R_MOHMT	0.0
R_BTS4	0.0
R_PPG2DGp	0.0
R_NADSG	0.0
R_UAAGDS	0.09583121538162231
R_AMID2	0.0
R_AMID2_duplicate_2	0.0
R_AMID2_duplicate_3	0.0
R_TAUDO	0.0
R_TAUDO_duplicate_2	0.0
R_TAUDO_duplicate_3	0.0
R_TAUDO_duplicate_4	0.0
R_TAUDO_duplicate_5	0.0
R_TAUDO_duplicate_6	0.0
R_TAUDO_duplicate_7	0.0
R_TAUDO_duplicate_8	0.0
R_TAUDO_duplicate_9	0.0
R_TAUDO_duplicate_10	0.0
R_THRtr	0.3168637934029584
R_AMDS6	0.0
R_AMDS6_duplicate_2	0.0
R_AMDS6_duplicate_3	0.0
R_ACPCD	0.0
R_HMR_7756	0.0
R_HMR_7756_duplicate_2	0.0
R_HMR_7756_duplicate_3	0.0
R_AMDS3	0.0
R_AMDS3_duplicate_2	0.0
R_AMDS3_duplicate_3	0.0
R_2HISOPD	0.0
R_AMDS2	0.0
R_AMDS2_duplicate_2	0.0
R_AMDS2_duplicate_3	0.0
R_CADVt	0.0
R_TMPPP	0.0
R_NPPDO	0.0
R_NPPDO_duplicate_2	0.0
R_NPPDO_duplicate_3	0.0
R_NPPDO_duplicate_4	0.0
R_NPPDO_duplicate_5	0.0
R_NPPDO_duplicate_6	0.0
R_HACD1	0.0
R_HACD1_duplicate_2	0.0
R_HACD1_duplicate_3	0.0
R_HACD1_duplicate_4	0.0
R_HACD1_duplicate_5	0.0
R_HACD1_duplicate_6	0.0
R_HACD1_duplicate_7	0.0
R_HACD2	0.0
R_HACD2_duplicate_2	0.0
R_HACD2_duplicate_3	0.0
R_HACD2_duplicate_4	0.0
R_HACD2_duplicate_5	0.0
R_HACD2_duplicate_6	0.0
R_HACD2_duplicate_7	0.0
R_HACD4	0.0
R_HACD4_duplicate_2	0.0
R_HACD4_duplicate_3	0.0
R_HACD4_duplicate_4	0.0
R_HACD4_duplicate_5	0.0
R_HACD4_duplicate_6	0.0
R_HACD4_duplicate_7	0.0
R_3HBCDH	0.0
R_DURIt2	0.0
R_GLYCLTt2r	-0.0006388747692097942
R_G6PDA	0.0
R_UDPG4E1	0.0
R_UDPG4E1_duplicate_2	0.0
R_PUNP7	0.0
R_ALATA_D	0.0
R_PUNP6	0.0
R_PUNP5	0.0
R_PUNP4	0.0
R_PAPPT3	0.09583121538162231
R_PROt4	0.0
R_3HBD	0.0
R_3HBD_duplicate_2	0.0
R_PUNP3	0.0
R_PUNP2	0.0
R_PUNP1	0.0
R_FBMO2	0.0
R_FBMO2_duplicate_2	0.0
R_FBMO2_duplicate_3	0.0
R_FBMO2_duplicate_4	0.0
R_FBMO1	0.0
R_FBMO1_duplicate_2	0.0
R_FBMO1_duplicate_3	0.0
R_FBMO1_duplicate_4	0.0
R_DHPPRAP	7.933628868645166e-07
R_HMDPPK	0.0
R_HPPPNt2r	0.0
R_PNTK	0.0004791560769081826
R_LCADi	0.0
R_CBPS	0.0
R_FBMO6	0.0
R_FBMO6_duplicate_2	0.0
R_FBMO6_duplicate_3	0.0
R_FBMO6_duplicate_4	0.0
R_PNTOK2	0.0
R_FBMO5	0.0
R_FBMO5_duplicate_2	0.0
R_FBMO5_duplicate_3	0.0
R_FBMO5_duplicate_4	0.0
R_PNTOK3	0.0
R_HDCAt2	0.0
R_FBMO3	0.0
R_FBMO3_duplicate_2	0.0
R_FBMO3_duplicate_3	0.0
R_FBMO3_duplicate_4	0.0
R_DSERt2	0.0
R_FBMO9	0.0
R_FBMO9_duplicate_2	0.0
R_FBMO9_duplicate_3	0.0
R_FBMO9_duplicate_4	0.0
R_FBMO8	0.0
R_FBMO8_duplicate_2	0.0
R_FBMO8_duplicate_3	0.0
R_FBMO8_duplicate_4	0.0
R_DAPDC	0.0
R_FBMO7	0.0
R_FBMO7_duplicate_2	0.0
R_FBMO7_duplicate_3	0.0
R_FBMO7_duplicate_4	0.0
R_UAGDP	0.20686765027046203
R_NO2t2r	0.0
R_METabc	0.1656710523218957
R_CDPGD	0.0
R_TOLabc	0.0
R_AMAOTr	0.0
R_AMAOTr_duplicate_2	0.0
R_UPP3MT	0.0
R_UPP3MT_duplicate_2	0.0
R_UPP3MT_duplicate_3	0.0
R_DAAD	0.0
R_DAAD_duplicate_2	0.0
R_DAAD_duplicate_3	0.0
R_DAAD_duplicate_4	0.0
R_DAAD_duplicate_5	0.0
R_DAAD_duplicate_6	0.0
R_DAAD_duplicate_7	0.0
R_DAAD_duplicate_8	0.0
R_PRGCS	0.0
R_MNLpts	0.0
R_SERt4	0.0
R_OCOAT1m	0.0
R_OCOAT1m_duplicate_2	0.0
R_UPPRT	0.0
R_UPPRT_duplicate_2	0.4189389196149096
R_UPPRT_duplicate_3	0.0
R_LDHm	0.0
R_GAMpts	0.20686765027046203
R_PPCK	0.0
R_ASPAM1	0.0
R_BZACCOAT	0.0
R_BZACCOAT_duplicate_2	0.0
R_BZACCOAT_duplicate_3	0.0
R_BZACCOAT_duplicate_4	0.0
R_BZACCOAT_duplicate_5	0.0
R_BZACCOAT_duplicate_6	0.0
R_BZACCOAT_duplicate_7	0.0
R_BZACCOAT_duplicate_8	0.0
R_BZACCOAT_duplicate_9	0.0
R_BZACCOAT_duplicate_10	0.0
R_BZACCOAT_duplicate_11	0.0
R_BZACCOAT_duplicate_12	0.0
R_ASPAM2	0.0
R_ASPAM3	0.0
R_ASPAM4	0.0
R_AAATT	0.0
R_ASPt2_3	0.0
R_MALTPTabc	0.0
R_ACHBS	0.0
R_ACHBS_duplicate_2	0.0
R_ASPt2_2	0.0
R_CHORS	0.0006388747692097942
R_CHORM	0.0
R_AOBUTDs	0.0
R_CCPPMD	0.0
R_14HPED	0.0
R_14HPED_duplicate_2	0.0
R_14HPED_duplicate_3	0.0
R_14HPED_duplicate_4	0.0
R_14HPED_duplicate_5	0.0
R_14HPED_duplicate_6	0.0
R_14HPED_duplicate_7	0.0
R_14HPED_duplicate_8	0.0
R_14HPED_duplicate_9	0.0
R_14HPED_duplicate_10	0.0
R_14HPED_duplicate_11	0.0
R_14HPED_duplicate_12	0.0
R_DHQND	0.0
R_DHQND_duplicate_2	0.0006388747692097942
R_IMPD	0.0
R_Biomass	0.0
R_SUCOAS	0.0
R_PPAt	0.0
R_IMP	0.0
R_ACPYRH	0.0
R_ACPYRH_duplicate_2	0.0
R_BUPN	0.0
R_BUDPP1	0.0
R_ALRTg	0.0
R_SSALy	0.0
R_SSALy_duplicate_2	0.0
R_SSALy_duplicate_3	0.0
R_SSALy_duplicate_4	0.0
R_GART	0.024012705184377987
R_CRNabc	0.0
R_CCPPCCOAL	0.0
R_CCPPCCOAL_duplicate_2	0.0
R_CCPPCCOAL_duplicate_3	0.0
R_CCPPCCOAL_duplicate_4	0.0
R_CCPPCCOAL_duplicate_5	0.0
R_CCPPCCOAL_duplicate_6	0.0
R_CCPPCCOAL_duplicate_7	0.0
R_CCPPCCOAL_duplicate_8	0.0
R_CCPPCCOAL_duplicate_9	0.0
R_CCPPCCOAL_duplicate_10	0.0
R_CCPPCCOAL_duplicate_11	0.0
R_CCPPCCOAL_duplicate_12	0.0
R_CCPPCCOAL_duplicate_13	0.0
R_CCPPCCOAL_duplicate_14	0.0
R_CCPPCCOAL_duplicate_15	0.0
R_CCPPCCOAL_duplicate_16	0.0
R_CCPPCCOAL_duplicate_17	0.0
R_CCPPCCOAL_duplicate_18	0.0
R_CCPPCCOAL_duplicate_19	0.0
R_CCPAMAH	0.0
R_NAPMSCD	0.0
R_NAPMSCD_duplicate_2	0.0
R_NAPMSCD_duplicate_3	0.0
R_NAPMSCD_duplicate_4	0.0
R_NAPMSCD_duplicate_5	0.0
R_BTCAL	0.0
R_GACT_h	0.0
R_ALRTa	0.0
R_XANt2	0.0
R_XANt	-0.0
R_BZFORCL1	0.0
R_KYN	0.0
R_BZFORCL2	0.0
R_KYNRN1	0.0
R_ALRTx	0.0
R_ALRTs	0.0
R_MG2t	0.00033391798352952674
R_KYNRN3	0.0
R_4NPHPP	0.0
R_4NPHPP_duplicate_2	0.0
R_4NPHPP_duplicate_3	0.0
R_ACS	0.0
R_ACS_duplicate_2	0.0
R_ACS_duplicate_3	0.0
R_ACS_duplicate_4	0.0
R_ACS_duplicate_5	0.0
R_ACS_duplicate_6	0.0
R_ACS_duplicate_7	0.0
R_FUM	0.0
R_FUM_duplicate_2	0.0
R_GERCT	0.0
R_GERCT_duplicate_2	0.0
R_GERCT_duplicate_3	0.0
R_GERCT_duplicate_4	0.0
R_GERCT_duplicate_5	0.0
R_GERCT_duplicate_6	0.0
R_GERCT_duplicate_7	0.0
R_NADHDH	0.0
R_PROTCD	0.0
R_PROTCD_duplicate_2	0.0
R_PROTCD_duplicate_3	0.0
R_PROTCD_duplicate_4	0.0
R_PROTCD_duplicate_5	0.0
R_PROTCD_duplicate_6	0.0
R_PPNCL	0.0004791560769081826
R_TRPTRS	0.06018812849504597
R_G1SAT	0.0
R_PROD2	0.0
R_ADNt2	1000.999350529328
R_ASP1DC	0.0
R_MNAO10	0.0
R_ADCOBNSYN	0.0
