Metabolite	Concentration
M_cpd00001	0.0
M_cpd00644	0.0
M_cpd00048	10.0
M_cpd00137	0.0
M_cpd00053	0.0
M_cpd00076	0.0
M_cpd00179	0.0
M_cpd00308	0.0
M_cpd00264	0.0
M_cpd00034	10.0
M_cpd00588	0.0
M_cpd00065	0.0
M_cpd00094	0.0
M_cpd00159	0.0
M_cpd03847	0.0
M_cpd00130	0.0
M_cpd00106	0.0
M_cpd00028	0.0
M_cpd00307	0.0
M_cpd00013	10.0
M_cpd00635	0.0
M_cpd00122	0.0
M_cpd00092	0.0
M_cpd00276	0.0
M_cpd00214	0.0
M_cpd00036	0.0
M_cpd04097	10.0
M_cpd00119	0.0
M_cpd00054	0.0
M_cpd00082	0.0
M_cpd00309	0.0
M_cpd00637	0.0
M_cpd00029	0.0
M_cpd00314	0.0
M_cpd11576	0.0
M_cpd00100	0.0
M_cpd00393	0.0
M_cpd00023	0.0
M_cpd00099	10.0
M_cpd00121	0.0
M_cpd00060	0.0
M_cpd00971	10.0
M_cpd00051	0.0
M_cpd00098	0.0
M_cpd01012	0.0
M_cpd03725	0.0
M_cpd01262	0.0
M_cpd00797	0.0
M_cpd00205	10.0
M_cpd03343	0.0
M_cpd00396	0.0
M_cpd00012	10.0
M_cpd00039	0.0
M_cpd00138	0.0
M_cpd00007	10.0
M_cpd00080	0.0
M_cpd00058	10.0
M_cpd00035	0.0
M_cpd00041	0.0
M_cpd00118	0.0
M_cpd00030	10.0
M_cpd01171	0.0
M_cpd10516	10.0
M_cpd00009	10.0
M_cpd01080	0.0
M_cpd00063	10.0
M_cpd01030	0.0
M_cpd00305	0.0
M_cpd01329	0.0
M_cpd00067	10.0
M_cpd01307	0.0
M_cpd00209	0.0
M_cpd00132	0.0
M_cpd00129	0.0
M_cpd00254	10.0
M_cpd00064	0.0
M_cpd00033	0.0
M_cpd00027	10.0
M_cpd00531	10.0
M_cpd03696	0.0
M_cpd00108	0.0
M_cpd01092	0.0
M_cpd00224	0.0
M_cpd00185	0.0
M_cpd00162	0.0
M_cpd00149	10.0
M_cpd00011	10.0
M_cpd00794	0.0
M_cpd00117	0.0
M_cpd00069	0.0
M_cpd00116	0.0
M_cpd00211	0.0
M_cpd00281	0.0
M_cpd00226	0.0
M_cpd01914	0.0
M_cpd00728	0.0
M_cpd00047	0.0
M_cpd00363	0.0
