ID	NAME	SBML ID	CONCENTRATION
MET	Methionine	M_cpd00060_c	0.0
ALATRNA	Charged trna ala	M_cpd11770_c	0.0
CYSTRNA	Charged trna cys	M_cpd12255_c	0.0
ASPTRNA	Charged trna asp	M_cpd12829_c	0.0
GLUTRNA	Charged trna glu	M_cpd12828_c	0.0
PHETRNA	Charged trna phe	M_cpd12335_c	0.0
GLYTRNA	Charged trna gly	M_cpd12100_c	0.0
HISTRNA	Charged trna his	M_cpd12228_c	0.0
ILETRNA	Charged trna ile	M_cpd12256_c	0.0
LYSTRNA	Charged trna lys	M_cpd01326_c	0.0
LEUTRNA	Charged trna leu	M_cpd12003_c	0.0
METTRNA	Charged trna met	M_cpd12105_c	0.0
ASNTRNA	Charged trna asn	M_cpd12313_c	0.0
PROTRNA	Charged trna pro	M_cpd12164_c	0.0
GLNTRNA	Charged trna gln	M_cpd12060_c	0.0
ARGTRNA	Charged trna arg	M_cpd12036_c	0.0
SERTRNA	Charged trna ser	M_cpd12132_c	0.0
THRTRNA	Charged trna thr	M_cpd12229_c	0.0
VALTRNA	Charged trna val	M_cpd12133_c	0.0
TRPTRNA	Charged trna trp	M_cpd12336_c	0.0
TYRTRNA	Charged trna tyr	M_cpd12194_c	0.0
TRNAALA	Uncharged trna ala	M_cpd11906_c	4.8026666666666665e-05
TRNACYS	Uncharged trna cys	M_cpd11910_c	8.56e-06
TRNAASP	Uncharged trna asp	M_cpd11908_c	2.253333333333333e-05
TRNAGLU	Uncharged trna glu	M_cpd11911_c	2.46e-05
TRNAPHE	Uncharged trna phe	M_cpd11919_c	1.732e-05
TRNAGLY	Uncharged trna gly	M_cpd11913_c	5.726666666666667e-05
TRNAHIS	Uncharged trna his	M_cpd11914_c	8.853333333333334e-06
TRNAILE	Uncharged trna ile	M_cpd11915_c	2.716e-05
TRNALYS	Uncharged trna lys	M_cpd11917_c	3.2080000000000005e-05
TRNALEU	Uncharged trna leu	M_cpd11916_c	4.212e-05
TRNAMET	Uncharged trna met	M_cpd11918_c	1.4373333333333335e-05
TRNAASN	Uncharged trna asn	M_cpd11908_c	2.253333333333333e-05
TRNAPRO	Uncharged trna pro	M_cpd11920_c	2.0666666666666666e-05
TRNAGLN	Uncharged trna gln	M_cpd11911_c	2.46e-05
TRNAARG	Uncharged trna arg	M_cpd11907_c	2.7653333333333332e-05
TRNASER	Uncharged trna ser	M_cpd11921_c	2.0173333333333332e-05
TRNATHR	Uncharged trna thr	M_cpd11922_c	2.372e-05
TRNAVAL	Uncharged trna val	M_cpd11924_c	3.956e-05
TRNATRP	Uncharged trna trp	M_cpd11923_c	5.32e-06
TRNATYR	Uncharged trna tyr	M_cpd11751_c	1.2893333333333332e-05
FMETTRNA	Charged trna fmet	M_cpd12285_c	0.0
ATP	ATP	M_cpd00002_c	0.003
CTP	CTP	M_cpd00052_c	0.0005
GTP	GTP	M_cpd00038_c	0.0004
UTP	UTP	M_cpd00062_c	0.0
ADP	ADP	M_cpd00008_c	0.0026
CDP	CDP	M_cpd00096_c	0.0003
GDP	GDP	M_cpd00031_c	0.0002
UDP	UDP	M_cpd00014_c	0.0
AMP	AMP	M_cpd00018_c	0.0047
CMP	CMP	M_cpd00046_c	0.001
GMP	GMP	M_cpd00126_c	0.0005
UMP	UMP	M_cpd00091_c	0.0
dATP	dATP	M_cpd00115_c	0.0
dCTP	dCTP	M_cpd00356_c	0.0
dGTP	dGTP	M_cpd00241_c	0.0
dTTP	dTTP	M_cpd00357_c	0.0
COA	Coenzyme A	M_cpd00010_c	0.0003
Pi	Phosphate	M_cpd00009_c	0.0144
NAD	NAD	M_cpd00003_c	0.0162
K	Potassium	M_cpd00205_c	0.7063
H	Proton	M_cpd00067_c	0.0
SPMD	SPMD	M_cpd00264_c	0.006999999999999999
H2O	H2O	M_cpd00001_c	0.0
PPi	Pyrophosphate	M_cpd00012_c	0.0009
NADPH	NADPH	M_cpd00005_c	0.0002
NADP	NADP	M_cpd00006_c	0.0009
FOR	Formate	M_cpd00047_c	0.0
10FTHF	10-Formyltetrahydrofolate	M_cpd00201_c	0.0004
CHEBI:58937	thiamine diphosphate	[MISSING]	0.0
CHEBI:29034	Fe(3+)	[MISSING]	0.0
CHEBI:57692	FAD	[MISSING]	0.0
CHEBI:49601	[2Fe-2S] cluster	[MISSING]	0.0
CHEBI:49883	[4Fe-4S] cluster	[MISSING]	0.0
CHEBI:57540	NAD(+)	[MISSING]	0.0
CHEBI:60240	a divalent metal cation	[MISSING]	0.0
CHEBI:29101	Na(+)	[MISSING]	0.0
CHEBI:18420	Mg(2+)	[MISSING]	0.0
CHEBI:29103	K(+)	[MISSING]	0.0
CHEBI:49786	Ni(2+)	[MISSING]	0.0
CHEBI:132124	a quinone	[MISSING]	0.0
CHEBI:29105	Zn(2+)	[MISSING]	0.0
CHEBI:30413	heme	[MISSING]	0.0
CHEBI:58210	FMN	[MISSING]	0.0
CHEBI:30409	[7Fe-Mo-9S-C-homocitryl] cluster	[MISSING]	0.0
CHEBI:29035	Mn(2+)	[MISSING]	0.0
CHEBI:57586	biotin	[MISSING]	0.0
CHEBI:29033	Fe(2+)	[MISSING]	0.0
CHEBI:29108	Ca(2+)	[MISSING]	0.0
CHEBI:28115	methylcob(III)alamin	[MISSING]	0.0
CHEBI:597326	pyridoxal 5'-phosphate	[MISSING]	0.0
CHEBI:29036	Cu(2+)	[MISSING]	0.0
CHEBI:24875	Fe cation	[MISSING]	0.0
CHEBI:48828	Co(2+)	[MISSING]	0.0
CHEBI:60344	heme b	[MISSING]	0.0
CHEBI:21143	[8Fe-7S] cluster	[MISSING]	0.0
CHEBI:83088	(R)-lipoate	[MISSING]	0.0
CHEBI:60539	Mo-bis(molybdopterin guanine dinucleotide)	[MISSING]	0.0
CHEBI:21137	[3Fe-4S] cluster	[MISSING]	0.0
CHEBI:24480	heme o	[MISSING]	0.0
CHEBI:57783	NADPH	[MISSING]	0.0
CHEBI:15361	pyruvate	[MISSING]	0.0
CHEBI:57618	FMNH2	[MISSING]	0.0
CHEBI:58349	NADP(+)	[MISSING]	0.0
CHEBI:60342	dipyrromethane	[MISSING]	0.0
CHEBI:17544	hydrogencarbonate	[MISSING]	0.0
CHEBI:25213	a metal cation	[MISSING]	0.0
CHEBI:60052	siroheme	[MISSING]	0.0
CHEBI:60519	hybrid [4Fe-2O-2S] cluster	[MISSING]	0.0
CHEBI:25516	Ni cation	[MISSING]	0.0
