R_rxn00001_c_enzyme	1xPN96_07680
R_rxn00001_c_duplicate_2_enzyme	6xPN96_11750
R_bio1_enzyme
R_rxn00002_c_enzyme	1xPN96_23175	1xPN96_20630
R_rxn00002_c_duplicate_2_enzyme	1xPN96_20635	1xPN96_20630
R_rxn00002_c_duplicate_3_enzyme	1xPN96_23175	1xPN96_23180
R_rxn00002_c_duplicate_4_enzyme	1xPN96_20635	1xPN96_23180
R_rxn00011_c_enzyme	1xPN96_01335
R_rxn00011_c_duplicate_2_enzyme	1xPN96_13465	1xPN96_11565
R_rxn00011_c_duplicate_3_enzyme	1xPN96_11560	1xPN96_11565
R_rxn00011_c_duplicate_4_enzyme	1xPN96_13465	1xPN96_13470
R_rxn00011_c_duplicate_5_enzyme	1xPN96_11560	1xPN96_13470
R_rxn00012_c_enzyme	1xPN96_17275
R_rxn00013_c_enzyme	1xPN96_16555
R_rxn00015_c_enzyme	1xPN96_14765
R_rxn00020_c_enzyme	1xPN96_22865
R_rxn00022_c_enzyme	1xPN96_03390
R_rxn00029_c_enzyme	1xPN96_12840
R_rxn00038_c_enzyme	1xPN96_21190
R_rxn00048_c_enzyme	1xPN96_06000
R_rxn00048_c_duplicate_2_enzyme	1xPN96_10110
R_rxn00055_c_enzyme	1xPN96_09510
R_rxn00056_c_enzyme	1xaverage_protein_Cytoplasm
R_rxn00058_c_enzyme	1xPN96_22640
R_rxn00058_c_duplicate_2_enzyme	1xPN96_22635
R_rxn00058_c_duplicate_3_enzyme	1xPN96_22625
R_rxn00060_c_enzyme	1xPN96_13865
R_rxn00065_c_enzyme	1xPN96_20275
R_rxn00065_c_duplicate_2_enzyme	1xPN96_13870
R_rxn00077_c_enzyme	1xPN96_10255
R_rxn00083_c_enzyme	1xPN96_14060
R_rxn00083_c_duplicate_2_enzyme	1xPN96_20540
R_rxn00085_c_enzyme	1xPN96_11100	1xPN96_11095
R_rxn00085_c_duplicate_2_enzyme	1xPN96_11100	1xPN96_11105
R_rxn00085_c_duplicate_3_enzyme	1xPN96_11110	1xPN96_19960
R_rxn00085_c_duplicate_4_enzyme	1xPN96_11100	1xPN96_19960
R_rxn00085_c_duplicate_5_enzyme	1xPN96_11110	1xPN96_13715
R_rxn00085_c_duplicate_6_enzyme	1xPN96_11100	1xPN96_13715
R_rxn00085_c_duplicate_7_enzyme	1xPN96_11110	1xPN96_18850
R_rxn00085_c_duplicate_8_enzyme	1xPN96_11100	1xPN96_18850
R_rxn00085_c_duplicate_9_enzyme	1xPN96_11110	1xPN96_11095
R_rxn00085_c_duplicate_10_enzyme	1xPN96_11110	1xPN96_11105
R_rxn00086_c_enzyme	1xPN96_13050
R_rxn00095_c_enzyme	1xPN96_11650
R_rxn00097_c_enzyme	1xPN96_09400
R_rxn00100_c_enzyme	1xPN96_01295
R_rxn00101_c_enzyme	1xPN96_05000
R_rxn00101_c_duplicate_2_enzyme	1xPN96_06185	1xPN96_06175	1xPN96_06180
R_rxn00101_c_duplicate_3_enzyme	2xPN96_06160	1xPN96_06170	1xPN96_06190	1xPN96_06165
R_rxn00105_c_enzyme	1xPN96_23060
R_rxn00109_c_enzyme	1xPN96_07575
R_rxn00113_c_enzyme	4xPN96_01070
R_rxn00114_c_enzyme	1xPN96_21810
R_rxn00117_c_enzyme	4xPN96_10485
R_rxn00119_c_enzyme	1xPN96_09400
R_rxn00119_c_duplicate_2_enzyme	6xPN96_02270
R_rxn00119_c_duplicate_3_enzyme	1xPN96_12560
R_rxn00122_c_enzyme	1xPN96_10880
R_rxn00124_c_enzyme	1xPN96_21920
R_rxn00124_c_duplicate_2_enzyme	2xPN96_15645
R_rxn00124_c_duplicate_3_enzyme	1xPN96_11050
R_rxn00126_c_enzyme	1xPN96_00880
R_rxn00130_c_enzyme	1xPN96_18770
R_rxn00132_c_enzyme	1xPN96_20755
R_rxn00132_c_duplicate_2_enzyme	1xPN96_07525
R_rxn00132_c_duplicate_3_enzyme	1xPN96_09695
