Enzyme	Concentration
R_rxn10208_c_enzyme	0.0
R_rxn04736_c_duplicate_6_enzyme	0.0
R_rxn00350_c_enzyme	0.0
R_rxn03248_c_enzyme	0.0
R_rxn06447_c_enzyme	3.6713280568598185e-07
R_rxn10474_c_enzyme	0.0
R_rxn02128_c_enzyme	0.0
R_rxn04996_c_enzyme	2.9230763641900794e-08
R_rxn00817_c_enzyme	0.0
R_rxn05251_c_duplicate_5_enzyme	0.0
R_rxn14089_c_duplicate_2_enzyme	0.0
R_rxn06160_c_duplicate_2_enzyme	0.0
R_rxn00612_c_enzyme	0.0
R_rxn08850_c_enzyme	0.0
R_rxn01101_c_duplicate_2_enzyme	0.0
R_rxn00422_c_duplicate_2_enzyme	8.190064978966643e-07
R_rxn01740_c_duplicate_2_enzyme	4.953695338672017e-07
R_rxn00529_c_enzyme	0.0
R_rxn05459_c_enzyme	0.0
R_rxn01353_c_enzyme	1.4274122941979139e-08
R_rxn03395_c_enzyme	0.0
R_rxn05301_c_duplicate_2_enzyme	0.0
R_rxn00251_c_enzyme	0.0
R_rxn12638_c_duplicate_2_enzyme	0.0
R_rxn03482_c_duplicate_3_enzyme	0.0
R_rxn10257_c_enzyme	0.0
R_rxn12639_c_duplicate_5_enzyme	0.0
R_rxn01629_c_enzyme	0.0
R_rxn12644_c_duplicate_2_enzyme	0.0
R_rxn00515_c_enzyme	0.0
R_rxn06777_c_enzyme	0.0
R_rxn01816_c_enzyme	0.0
R_rxn02895_c_enzyme	7.358017020190895e-06
R_rxn05735_c_duplicate_4_enzyme	0.0
R_rxn02026_c_enzyme	0.0
R_rxn12844_c_enzyme	0.0
R_rxn12644_c_duplicate_3_enzyme	0.0
R_rxn00314_c_enzyme	0.0
R_rxn09448_c_duplicate_2_enzyme	0.0
R_rxn02320_c_enzyme	1.445791480113104e-07
R_rxn03247_c_enzyme	0.0
R_rxn05618_c_enzyme	0.0
R_rxn01961_c_duplicate_2_enzyme	0.0
R_rxn01705_c_enzyme	0.0
R_rxn01137_c_duplicate_2_enzyme	0.0
R_rxn12191_c_duplicate_4_enzyme	0.0
R_rxn07883_c_duplicate_2_enzyme	0.0
R_rxn00262_c_enzyme	0.0
R_rxn03437_c_enzyme	0.0
R_rxn00355_c_duplicate_2_enzyme	0.0
R_rxn01513_c_enzyme	1.860698660792306e-08
R_rxn00785_c_enzyme	0.0
R_rxn10806_c_duplicate_4_enzyme	0.0
R_rxn00704_c_enzyme	8.190064978966643e-07
R_rxn00085_c_duplicate_5_enzyme	0.0
R_rxn00345_c_enzyme	0.0
R_rxn01459_c_duplicate_3_enzyme	0.0
R_rxn11838_c_duplicate_3_enzyme	0.0
R_rxn04726_c_duplicate_4_enzyme	0.0
R_rxn02853_c_duplicate_3_enzyme	0.0
R_rxn03147_c_duplicate_2_enzyme	0.0
R_EX_cpd00205_e_enzyme	0
R_rxn01872_c_enzyme	1.0715451891304302e-05
R_rxn02853_c_duplicate_2_enzyme	0.0
R_rxn08846_c_enzyme	0.0
R_rxn05373_c_enzyme	0.0
R_rxn02507_c_enzyme	1.3312732378967156e-07
R_rxn01858_c_duplicate_2_enzyme	0.0
R_rxn05006_c_duplicate_2_enzyme	0.0
R_rxn30509_c_enzyme	1.643596065079833e-07
R_rxn00181_c_enzyme	0.0
R_rxn14089_c_enzyme	0.0
R_rxn00272_c_enzyme	0.0
R_rxn05154_c_enzyme	0.0
R_rxn01973_c_enzyme	6.401371428297217e-07
R_rxn10126_c_duplicate_2_enzyme	3.564779061915664e-05
R_rxn00186_c_enzyme	0.0
R_rxn03248_c_duplicate_5_enzyme	0.0
R_rxn06442_c_enzyme	4.253204461538854e-07
R_rxn05734_c_duplicate_5_enzyme	0.0
