Reaction	Flux
R_rxn01607_c	0.0
R_rxn00368_c_duplicate_2	0.0
R_rxn01500_c	0.0
R_rxn05234_c	0.0
R_rxn01674_c	0.0
R_rxn05734_c_duplicate_2	0.0
R_rxn01451_c	0.0
R_rxn05156_c	0.0
R_rxn01851_c_duplicate_6	0.0
R_rxn05459_c	0.0
R_rxn08521_c	0.0
R_rxn02435_c	0.0
R_rxn03897_c	0.0
R_rxn00568_c_duplicate_3	0.0
R_rxn10261_c	0.0
R_rxn01961_c	0.0
R_rxn03898_c_duplicate_2	0.0
R_rxn00650_c_duplicate_2	0.0
R_rxn00379_c_duplicate_3	0.0
R_rxn08819_c	0.0
R_rxn00655_c	0.0
R_rxn04908_c	0.0
R_rxn00199_c	7.500667619600455
R_rxn10770_c_duplicate_8	0.0
R_rxn05871_c_duplicate_2	0.0
R_rxn01621_c	0.0
R_rxn05115_c	0.0
R_rxn00178_c_duplicate_4	0.0
R_rxn01128_c	0.0
R_rxn00211_c	0.0
R_rxn03130_c	0.025551265869140628
R_rxn05616_c	0.0
R_rxn08300_c_duplicate_2	0.0
R_rxn05608_c_duplicate_2	0.0
R_EX_cpd03343_e	0.0
R_rxn05252_c_duplicate_5	0.0
R_rxn08810_c	0.0
R_rxn09240_c_duplicate_4	0.15887428936772618
R_bio1	0.0
R_rxn00506_c_duplicate_5	0.0
R_EX_cpd00635_e	0.0
R_rxn00710_c	0.3182925778684833
R_rxn01416_c	0.0
R_rxn05148_c	0.0
R_rxn04908_c_duplicate_2	0.0
R_rxn12845_c_duplicate_6	0.0
R_rxn00540_c	0.0
R_rxn01851_c	0.0
R_rxn01102_c	0.0
R_rxn09265_c	0.0
R_rxn03246_c	0.0
R_rxn09106_c	0.0
R_rxn05006_c_duplicate_3	0.0
R_rxn01530_c_duplicate_3	0.0
R_rxn00192_c_duplicate_2	0.0
R_rxn00493_c	-0.15440242446659225
R_rxn07875_c_duplicate_2	0.0
R_rxn05618_c	0.0
R_EX_cpd01914_e	0.0
R_rxn05231_c_duplicate_2	0.0
R_rxn00161_c	0.0
R_rxn01975_c	0.0
R_rxn00527_c	0.0
R_rxn11892_c_duplicate_2	0.0
R_rxn10770_c	0.0
R_rxn00671_c_duplicate_2	0.0
R_rxn00515_c	0.0
R_rxn00256_c	13.613739357798323
R_rxn00748_c_duplicate_3	0.0
R_rxn08808_c	0.0
R_rxn05386_c	0.0
R_rxn00973_c	13.613739357798323
R_rxn00679_c	0.0
R_rxn08710_c	0.0
R_rxn05736_c_duplicate_2	0.0
R_rxn00569_c_duplicate_4	0.0
R_rxn01135_c	0.0
R_rxn00629_c	0.0
R_rxn05455_c	0.0
R_rxn01329_c	0.0
R_rxn00950_c_duplicate_2	0.0
R_rxn10131_c_duplicate_3	0.0
R_rxn00778_c	0.0
R_rxn00405_c	0.009192992448806761
R_rxn05527_c	0.0
R_rxn01000_c	0.15440242446659225
R_rxn00721_c	0.0
R_rxn00406_c_duplicate_2	0.0
R_rxn00873_c_duplicate_2	0.0
R_rxn01138_c	0.0
R_rxn38837_c_duplicate_2	0.0
R_rxn05301_c_duplicate_2	0.0
R_rxn02412_c	0.0
R_rxn05126_c	0.0
R_rxn05256_c	0.15887428936772618
R_rxn05346_c	0.0
R_rxn00122_c	0.0
R_rxn00676_c	0.0
R_rxn09103_c_duplicate_2	0.0
R_rxn12633_c	0.0
R_rxn05379_c_duplicate_2	0.0
R_rxn09104_c	0.0
R_rxn09264_c_duplicate_2	0.0
R_rxn01171_c	0.0
R_rxn03422_c	0.0
R_rxn00726_c	0.039704444889345485
R_rxn00490_c	0.0
R_rxn00371_c	26.472589635021176
R_rxn00707_c_duplicate_2	0.0
R_rxn00083_c	0.0
R_rxn14294_c	0.0
R_rxn00085_c_duplicate_3	0.0
R_rxn05375_c_duplicate_2	0.0
R_rxn02804_c_duplicate_5	0.3651666726207733
R_rxn00379_c_duplicate_2	0.0
R_rxn03360_c	0.0
R_rxn03842_c	0.0
R_rxn05396_c	0.0
R_rxn01210_c	0.0
R_rxn00303_c_duplicate_2	0.0
R_rxn05249_c_duplicate_6	0.0
R_rxn00904_c	-5.162258668119241
R_rxn01304_c	0.11963253350479341
R_rxn11719_c	0.0
R_rxn00791_c	0.039704444889345485
R_rxn00676_c_duplicate_5	0.26121845163477614
R_rxn05375_c	0.0
R_rxn14090_c	0.0
R_rxn00328_c_duplicate_2	0.0
R_rxn03440_c_duplicate_2	0.0
R_rxn02804_c	0.0
R_rxn01279_c	0.0
R_rxn00947_c	0.0
R_rxn00612_c	0.0
R_rxn00085_c	0.0
R_rxn08811_c	0.0
R_rxn00872_c	0.0
R_rxn00146_c	0.0
R_rxn00692_c_duplicate_3	0.0
R_rxn01705_c	0.0
R_rxn03282_c_duplicate_7	0.0
R_rxn00550_c_duplicate_2	0.0
R_rxn02391_c	0.0
R_rxn08043_c	0.0
R_rxn01678_c	0.0
R_rxn01827_c_duplicate_2	0.0
R_rxn00459_c	26.6300460346077
R_rxn01859_c_duplicate_2	0.0
R_rxn02405_c	0.051102531738281255
R_rxn01286_c_duplicate_5	0.0
R_rxn02177_c	0.0
R_rxn02925_c_duplicate_2	0.0
R_rxn07883_c	0.0
R_rxn11749_c	0.0
R_rxn01053_c	0.0
R_rxn03080_c	0.0
R_rxn01204_c	0.0
R_rxn03439_c	0.025551265869140628
R_rxn01530_c_duplicate_4	0.0
R_rxn03816_c	0.0
R_rxn05252_c_duplicate_4	0.0
R_rxn03047_c	0.0
R_rxn02339_c_duplicate_4	0.0
R_rxn08983_c_duplicate_3	0.0
R_rxn01116_c_duplicate_2	0.0
R_rxn05368_c	0.0
R_rxn00260_c_duplicate_2	0.0
R_rxn02934_c_duplicate_2	0.26121845163477614
