ENTRY	STOICHIOMETRY	GENE NAMES	PROTEIN NAME	UNIPROT NOTE
P76577	1.0	pbpC yfgN b2519 JW2503	Penicillin-binding protein 1C (PBP-1c) (PBP1c) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.1.129) (Peptidoglycan TGase); Transpeptidase-like module]	[MISSING]
P0AG34	1.0	rhtB yigK b3824 JW5585	Homoserine/homoserine lactone efflux protein	[MISSING]
P07000	1.0	pldB b3825 JW5584	Lysophospholipase L2 (EC 3.1.1.5) (Lecithinase B)	[MISSING]
P45522	1.0	kefB trkB b3350 JW3313	Glutathione-regulated potassium-efflux system protein KefB (K(+)/H(+) antiporter) (NEM-activable K(+)/H(+) antiporter)	SUBUNIT: Interacts with the regulatory subunit KefG. {ECO:0000255|HAMAP-Rule:MF_01412}.
P04816	1.0	livK b3458 JW3423	Leucine-specific-binding protein (L-BP) (LS-BP)	[MISSING]
P62620	1.0	ispG gcpE b2515 JW2499	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin) (EC 1.17.7.3) (1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase) (Protein GcpE) (Protein E)	[MISSING]
P0AG38	1.0	rhtC yigJ b3823 JW5586	Threonine efflux protein	[MISSING]
P27848	1.0	yigL b3826 JW5854	Pyridoxal phosphate phosphatase YigL (EC 3.1.3.74) (PLP phosphatase) (Sugar phosphatase) (EC 3.1.3.23)	[MISSING]
P0ABM1	1.0	ccmC yejT yejU b2199 JW2187	Heme exporter protein C (Cytochrome c-type biogenesis protein CcmC)	[MISSING]
P0ABM5	1.0	ccmD yojM b2198 JW2186	Heme exporter protein D (Cytochrome c-type biogenesis protein CcmD)	[MISSING]
P69490	1.0	ccmE yejS b2197 JW2185	Cytochrome c-type biogenesis protein CcmE (Cytochrome c maturation protein E) (Heme chaperone CcmE)	SUBUNIT: Forms a ternary complex with CcmC and CcmD. Interacts with CcmF. Shuttles between CcmC and CcmF for heme delivery. {ECO:0000269|PubMed:11384983, ECO:0000269|PubMed:11744735, ECO:0000269|PubMed:15513913}.
P0ABB0	3.0	atpA papA uncA b3734 JW3712	ATP synthase subunit alpha (EC 3.6.3.14) (ATP synthase F1 sector subunit alpha) (F-ATPase subunit alpha)	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a(1), b(2) and c(9-12). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. CF(1) is attached to CF(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains. {ECO:0000255|HAMAP-Rule:MF_01346}.
P0ABA4	1.0	atpH papE uncH b3735 JW3713	ATP synthase subunit delta (ATP synthase F(1) sector subunit delta) (F-type ATPase subunit delta) (F-ATPase subunit delta)	SUBUNIT: F-type ATPases have 2 components, F(1) - the catalytic core - and F(0) - the membrane proton channel. F(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). F(0) has three main subunits: a(1), b(2) and c(10-14). The alpha and beta chains form an alternating ring which encloses part of the gamma chain. F(1) is attached to F(0) by a central stalk formed by the gamma and epsilon chains, while a peripheral stalk is formed by the delta and b chains. {ECO:0000255|HAMAP-Rule:MF_01416, ECO:0000269|PubMed:16079137}.
