ENTRY	GENE NAME	PROTEIN NAME	LOCATION
Q0K2K1	gabD1 H16_B0982	Succinate-semialdehyde dehydrogenase (NADP+) (EC 1.2.1.16)	Cytoplasm
Q0KBC0	tmk H16_A1569	Thymidylate kinase (EC 2.7.4.9) (dTMP kinase)	Cytoplasm
Q0K4T6	cpaF2 H16_B0187	Flp pilus assembly ATPase CpaF (EC 3.6.1.-)	Cytoplasm
Q0K572	cynS H16_B0046	Cyanate hydratase (Cyanase) (EC 4.2.1.104) (Cyanate hydrolase) (Cyanate lyase)	Cytoplasm
Q0K9U2	ttuD2 H16_A2132	Hydroxypyruvate reductase (EC 1.1.1.81)	Cytoplasm
Q0KF23	H16_A0246	Methylenetetrahydrofolate reductase (EC 1.5.1.20)	Cytoplasm
Q0KAG3	acnM H16_A1907	Aconitate hydratase (Aconitase) (EC 4.2.1.3)	Cytoplasm
Q0KAZ6	H16_A1700	Acyl-CoA synthetase (AMP-forming)/AMP-acid ligase II (EC 6.2.1.-)	Cytoplasm
Q0K974	H16_A2352	Putative NADH-flavin reductase (EC 1.5.1.30)	Cytoplasm
Q0K718	pntAa3 H16_A3128	NAD(P) transhydrogenase subunit alpha 1 (EC 1.6.1.2)	Cytoplasm
Q0K5G5	def H16_A3700	Peptide deformylase (PDF) (EC 3.5.1.88) (Polypeptide deformylase)	Cytoplasm
Q0KDC3	pntAb1 H16_A0851	NAD(P) transhydrogenase subunit alpha 2 (EC 1.6.1.2)	Cytoplasm
Q0K7K8	fdhA1 H16_A2937	Formate dehydrogenase alpha subunit (Fe4S4 domain) (EC 1.2.1.2)	Cytoplasm
Q0K2G7	icd3 H16_B1016	Isocitrate dehydrogenase [NAD] (EC 1.1.1.41)	Cytoplasm
Q0JZM9	H16_B2013	Amidase (EC 3.5.1.-)	Cytoplasm
Q0K058	H16_B1834	Alcohol dehydrogenase (EC 1.1.1.1)	Cytoplasm
Q0K0C1	H16_A1713 H16_B1771	Acetyl-CoA acetyltransferase (EC 2.3.1.9)	Cytoplasm
Q0K8Y0	carB2 carB H16_A2452	Carbamoyl-phosphate synthase large chain (EC 6.3.5.5) (Carbamoyl-phosphate synthetase ammonia chain)	Cytoplasm
Q0KAG0	ansA H16_A1910	Glutaminase-asparaginase (Amidohydrolase) (EC 3.5.1.38)	Cytoplasm
Q0K3N3	H16_B0594	Predicted acid phosphatase (EC 3.1.3.-)	Cytoplasm
