ENTRY	STOICHIOMETRY	GENE NAMES	PROTEIN NAME	UNIPROT NOTE
Q0JY26	1	zwf3 zwf H16_B2566	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	[MISSING]
Q0K136	1	zwf2 zwf H16_B1501	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	[MISSING]
Q0KEV4	1	zwf1 zwf H16_A0316	Glucose-6-phosphate 1-dehydrogenase (G6PD) (EC 1.1.1.49)	[MISSING]
Q0K022	1	xsc H16_B1870	Sulphoacetaldehyde acetyltransferase (TPP dependent) (EC 2.3.3.15)	[MISSING]
Q0JZZ4	1	xdhB2 H16_B1898	Putative xanthine dehydrogenase subunit (EC 1.17.1.4)	[MISSING]
Q0KCW3	1	xdhB1 H16_A1016	Xanthine dehydrogenase, subunit B (EC 1.17.1.4)	[MISSING]
Q0JZZ5	1	xdhA2 H16_B1897	Putative xanthine dehydrogenase subunit (EC 1.17.1.4)	[MISSING]
Q0KCW2	1	xdhA1 H16_A1017	Xanthine dehydrogenase, iron-sulfur cluster and FAD-binding subunit A (EC 1.17.1.4)	[MISSING]
Q0K584	1	wecC H16_B0034	UDP-N-Acetyl-D-mannosamine 6-dehydrogenase (EC 1.1.1.-)	[MISSING]
Q0K586	1	wbpD H16_B0032	Acetyltransferase (EC 2.3.1.-)	[MISSING]
Q0K841	1	valS H16_A2751	Valine--tRNA ligase (EC 6.1.1.9) (Valyl-tRNA synthetase) (ValRS)	SUBUNIT: Monomer. {ECO:0000256|HAMAP-Rule:MF_02004, ECO:0000256|SAAS:SAAS00889229}.
Q0K5P7	2	uvrD3 rep H16_A3617	ATP-dependent DNA helicase Rep (EC 3.6.4.12)	SUBUNIT: Homodimer. {ECO:0000256|HAMAP-Rule:MF_01920}.
Q0K0W6	1	uvrA2 H16_B1571	UvrABC system protein A	SUBUNIT: Forms a heterotetramer with UvrB during the search for lesions. {ECO:0000256|SAAS:SAAS00571359}.
Q0KCP6	1	ureC H16_A1084	Urease subunit alpha (EC 3.5.1.5) (Urea amidohydrolase subunit alpha)	SUBUNIT: Heterotrimer of UreA (gamma), UreB (beta) and UreC (alpha) subunits. Three heterotrimers associate to form the active enzyme. {ECO:0000255|HAMAP-Rule:MF_01953}.
Q0KCP7	1	ureB H16_A1083	Urease subunit beta (EC 3.5.1.5) (Urea amidohydrolase subunit beta)	SUBUNIT: Heterotrimer of UreA (gamma), UreB (beta) and UreC (alpha) subunits. Three heterotrimers associate to form the active enzyme. {ECO:0000255|HAMAP-Rule:MF_01954}.
O30334	1	ureA H16_A1081	Urease subunit gamma (EC 3.5.1.5) (Urea amidohydrolase subunit gamma)	SUBUNIT: Heterotrimer of UreA (gamma), UreB (beta) and UreC (alpha) subunits. Three heterotrimers associate to form the active enzyme. {ECO:0000255|HAMAP-Rule:MF_00739}.
