ENTRY	CHEBI	NAME	STOICHIOMETRY	UNIPROT ANNOTATION
Q0KAG3	CHEBI:29033	Fe(2+)	1	Binds 1 [4Fe-4S] cluster per subunit. {ECO:0000256|RuleBase:RU361275};
Q0K8H0	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000256|HAMAP-Rule:MF_01033, ECO:0000256|RuleBase:RU004445}; 
Q0K8H0	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) or Mn(2+) ion per subunit. {ECO:0000256|HAMAP-Rule:MF_01033, ECO:0000256|RuleBase:RU004445}; 
Q0K8H0	CHEBI:29035	Mn(2+)	0	 Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000256|SAAS:SAAS00611795}; 
Q0K1W1	CHEBI:18420	Mg(2+)	2	Binds 2 divalent metal cations per subunit. Magnesium or manganese. {ECO:0000256|HAMAP-Rule:MF_00180, ECO:0000256|RuleBase:RU003843}; 
Q0K1W1	CHEBI:29035	Mn(2+)	0	Binds 2 divalent metal cations per subunit. Magnesium or manganese. {ECO:0000256|HAMAP-Rule:MF_00180, ECO:0000256|RuleBase:RU003843}; 
Q0K1W1	CHEBI:29035	Mn(2+)	0	 Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000256|SAAS:SAAS00608866}; 
Q0KDV3	CHEBI:18420	Mg(2+)	1	Mg(2+). Can also accept Mn(2+). {ECO:0000256|HAMAP-Rule:MF_00020};
Q0KDV3	CHEBI:29035	Mn(2+)	0	Mg(2+). Can also accept Mn(2+). {ECO:0000256|HAMAP-Rule:MF_00020};
Q0K7U0	CHEBI:18420	Mg(2+)	2	Binds 2 divalent metal cations per subunit. Magnesium or manganese. {ECO:0000256|HAMAP-Rule:MF_00180}; 
Q0K7U0	CHEBI:29035	Mn(2+)	0	Binds 2 divalent metal cations per subunit. Magnesium or manganese. {ECO:0000256|HAMAP-Rule:MF_00180}; 
Q0K7U0	CHEBI:29035	Mn(2+)	0	 Name=Mn(2+); Xref=ChEBI:CHEBI:29035; Evidence={ECO:0000256|SAAS:SAAS00608866}; 
Q0K7D1	CHEBI:29105	Zn(2+)	0	Binds 1 zinc or iron ion per subunit. {ECO:0000255|HAMAP-Rule:MF_00372};
Q0K7D1	CHEBI:29033	Fe(2+)	1	Binds 1 zinc or iron ion per subunit. {ECO:0000255|HAMAP-Rule:MF_00372};
Q0KEA8	CHEBI:29105	Zn(2+)	0	Binds 1 divalent metal cation per subunit. Can use ions such as Zn(2+), Mg(2+) or Co(2+). {ECO:0000256|HAMAP-Rule:MF_00536};
Q0KEA8	CHEBI:18420	Mg(2+)	1	Binds 1 divalent metal cation per subunit. Can use ions such as Zn(2+), Mg(2+) or Co(2+). {ECO:0000256|HAMAP-Rule:MF_00536};
Q0KEA8	CHEBI:48828	Co(2+)	0	Binds 1 divalent metal cation per subunit. Can use ions such as Zn(2+), Mg(2+) or Co(2+). {ECO:0000256|HAMAP-Rule:MF_00536};
Q0KFD3	CHEBI:29103	K(+)	0	 Name=K(+); Xref=ChEBI:CHEBI:29103; Evidence={ECO:0000256|SAAS:SAAS00611758}; ; 
Q0KFD3	CHEBI:28938	NH4(+)	1	A monovalent cation. Ammonium or potassium. {ECO:0000256|HAMAP-Rule:MF_01274};
Q0KFD3	CHEBI:29103	K(+)	0	A monovalent cation. Ammonium or potassium. {ECO:0000256|HAMAP-Rule:MF_01274};
Q0K8F1	CHEBI:29033	Fe(2+)	1	Binds 1 [4Fe-4S] cluster per subunit. {ECO:0000256|RuleBase:RU361275};
Q0K669	CHEBI:48828	Co(2+)	1	Binds 1 divalent metal cation per subunit. Can use either Co(2+) or Zn(2+). {ECO:0000255|HAMAP-Rule:MF_00110}; 
Q0K669	CHEBI:29105	Zn(2+)	0	Binds 1 divalent metal cation per subunit. Can use either Co(2+) or Zn(2+). {ECO:0000255|HAMAP-Rule:MF_00110}; 
Q0K669	CHEBI:57540	NAD(+)	1	 Name=NAD(+); Xref=ChEBI:CHEBI:57540; Evidence={ECO:0000255|HAMAP-Rule:MF_00110}; 
Q0K6M6	CHEBI:18420	Mg(2+)	2	Binds 2 magnesium or manganese ions per subunit. {ECO:0000250};
Q0K6M6	CHEBI:29035	Mn(2+)	0	Binds 2 magnesium or manganese ions per subunit. {ECO:0000250};
P21725	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
P21725	CHEBI:29108	Ca(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
P21725	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
P21725	CHEBI:48828	Co(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
P21725	CHEBI:58937	thiamine diphosphate	1	Binds 1 thiamine pyrophosphate per subunit. {ECO:0000250};
Q0K0Q9	CHEBI:18420	Mg(2+)	1	Mg(2+). Can also accept Mn(2+). {ECO:0000256|HAMAP-Rule:MF_00020};
Q0K0Q9	CHEBI:29035	Mn(2+)	0	Mg(2+). Can also accept Mn(2+). {ECO:0000256|HAMAP-Rule:MF_00020};
P21726	CHEBI:18420	Mg(2+)	1	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
P21726	CHEBI:29108	Ca(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
P21726	CHEBI:29035	Mn(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
P21726	CHEBI:48828	Co(2+)	0	Binds 1 Mg(2+) ion per subunit. Can also utilize other divalent metal cations, such as Ca(2+), Mn(2+) and Co(2+). {ECO:0000250}; 
P21726	CHEBI:58937	thiamine diphosphate	1	Binds 1 thiamine pyrophosphate per subunit. {ECO:0000250};
