Entry	Entry name	Status	Protein names	Gene names	Organism	Length
Q0KBZ2	Q0KBZ2_CUPNH	unreviewed	Translation initiation factor IF-3	infC H16_A1340	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	140
Q0K9B9	IF2_CUPNH	reviewed	Translation initiation factor IF-2	infB H16_A2306	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	962
Q0JZW8	IF13_CUPNH	reviewed	Translation initiation factor IF-1 3	infA3 infA2 H16_B1924	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	73
Q0K640	IF12_CUPNH	reviewed	Translation initiation factor IF-1 2	infA2 infA1 H16_A3463	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	72
Q0K8Z9	IF11_CUPNH	reviewed	Translation initiation factor IF-1 1	infA1 infA3 H16_A2433	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	73
Q0JZY1	Q0JZY1_CUPNH	unreviewed	Translation elongation factor G (EF-G)	H16_B1911	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	684
Q0JY21	RF3_CUPNH	reviewed	Peptide chain release factor 3 (RF-3)	prfC H16_B2571	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	533
Q0K611	Q0K611_CUPNH	unreviewed	Elongation factor G (EF-G)	fusA fusA1 H16_A3492	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	702
Q0K4Z4	Q0K4Z4_CUPNH	unreviewed	Elongation factor G (EF-G)	fusA fusA2 H16_B0124	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	701
Q0K8N0	LEPA_CUPNH	reviewed	Elongation factor 4 (EF-4) (EC 3.6.5.n1) (Ribosomal back-translocase LepA)	lepA H16_A2558	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	597
Q0K9E8	RL9_CUPNH	reviewed	50S ribosomal protein L9	rplI H16_A2276	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	150
Q0K605	RL7_CUPNH	reviewed	50S ribosomal protein L7/L12	rplL H16_A3498	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	124
Q0K634	RL6_CUPNH	reviewed	50S ribosomal protein L6	rplF H16_A3469	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	177
Q0K631	RL5_CUPNH	reviewed	50S ribosomal protein L5	rplE H16_A3472	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	180
Q0K620	RL4_CUPNH	reviewed	50S ribosomal protein L4	rplD H16_A3483	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	206
Q0K641	RL36_CUPNH	reviewed	50S ribosomal protein L36	rpmJ H16_A3462	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	38
Q0KBZ1	RL35_CUPNH	reviewed	50S ribosomal protein L35	rpmI H16_A1341	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	65
Q0K5B8	RL34_CUPNH	reviewed	50S ribosomal protein L34	rpmH H16_A3747	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	44
Q0K7B1	RL33_CUPNH	reviewed	50S ribosomal protein L33	rpmG H16_A3035	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	56
Q0K8L7	RL32_CUPNH	reviewed	50S ribosomal protein L32	rpmF H16_A2571	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	59
Q0K929	RL31B_CUPNH	reviewed	50S ribosomal protein L31 type B	rpmE2 H16_A2397	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	86
Q0K637	RL30_CUPNH	reviewed	50S ribosomal protein L30	rpmD H16_A3466	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	60
Q0K619	RL3_CUPNH	reviewed	50S ribosomal protein L3	rplC H16_A3484	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	216
Q0K627	RL29_CUPNH	reviewed	50S ribosomal protein L29	rpmC H16_A3476	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	64
Q0K7B2	RL28_CUPNH	reviewed	50S ribosomal protein L28	rpmB H16_A3034	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	77
Q0K6P5	RL27_CUPNH	reviewed	50S ribosomal protein L27	rpmA H16_A3251	Cupriavidus necator (strain ATCC 17699 / H16 / DSM 428 / Stanier 337) (Ralstonia eutropha)	86
