ENTRY	STOICHIOMETRY	GENE NAMES	PROTEIN NAME	UNIPROT NOTE
P11045	1	dfrA BSU21810	Dihydrofolate reductase (EC 1.5.1.3)	[MISSING]
P39582	1	menA ywaB BSU38490 ipa-6d	1,4-dihydroxy-2-naphthoate octaprenyltransferase (DHNA-octaprenyltransferase) (EC 2.5.1.74)	[MISSING]
P94366	1	cydC yxkM BSU38740	ATP-binding/permease protein CydC	[MISSING]
P26381	1	levF BSU27050	Fructose permease IIC component (EIIC-Fru) (PTS system fructose-specific EIIC component) (p28)	[MISSING]
O35000	1	nagB BSU35020	Glucosamine-6-phosphate deaminase 1 (EC 3.5.99.6) (GlcN6P deaminase 1) (GNPDA 1) (Glucosamine-6-phosphate isomerase 1)	[MISSING]
P37253	1	ilvC BSU28290	Ketol-acid reductoisomerase (NADP(+)) (KARI) (EC 1.1.1.86) (Acetohydroxy-acid isomeroreductase) (AHIR) (Alpha-keto-beta-hydroxylacyl reductoisomerase) (Ketol-acid reductoisomerase type 1) (Ketol-acid reductoisomerase type I)	[MISSING]
P39131	1	mnaA BSU35660	UDP-N-acetylglucosamine 2-epimerase (EC 5.1.3.14) (UDP-GlcNAc-2-epimerase)	[MISSING]
Q08352	1	ald spoVN BSU31930	Alanine dehydrogenase (EC 1.4.1.1) (Stage V sporulation protein N)	SUBUNIT: Homohexamer. Trimer of dimer (By similarity). {ECO:0000250}.
P08065	1	sdhA citF BSU28440	Succinate dehydrogenase flavoprotein subunit (EC 1.3.5.1)	SUBUNIT: In B.subtilis succinate dehydrogenase forms part of an enzyme complex containing three subunits: a flavoprotein, an iron-sulfur protein and cytochrome b-558.
P42199	1	tcyA yckK BSU03610	L-cystine-binding protein TcyA	SUBUNIT: The complex is composed of two ATP-binding proteins (TcyC), two transmembrane proteins (TcyB) and a solute-binding protein (TcyA). {ECO:0000305}.
O05229	1	mrpD yufD BSU31630	Na(+)/H(+) antiporter subunit D (Mrp complex subunit D) (Multiple resistance and pH homeostasis protein D)	SUBUNIT: Forms a heterooligomeric complex that consists of seven subunits: MrpA, MrpB, MrpC, MrpD, MrpE, MrpF and MrpG. {ECO:0000269|PubMed:17693497}.
P39634	1	rocA BSU37780 ipa-76d	1-pyrroline-5-carboxylate dehydrogenase (P5C dehydrogenase) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)	[MISSING]
P80865	1	sucD BSU16100	Succinate--CoA ligase [ADP-forming] subunit alpha (EC 6.2.1.5) (Succinyl-CoA synthetase subunit alpha) (SCS-alpha)	SUBUNIT: Heterotetramer of two alpha and two beta subunits. {ECO:0000255|HAMAP-Rule:MF_01988}.
P12041	1	purQ BSU06470	Phosphoribosylformylglycinamidine synthase subunit PurQ (FGAM synthase) (EC 6.3.5.3) (Formylglycinamide ribonucleotide amidotransferase subunit I) (FGAR amidotransferase I) (FGAR-AT I) (Glutaminase PurQ) (EC 3.5.1.2) (Phosphoribosylformylglycinamidine synthase subunit I)	SUBUNIT: Part of the FGAM synthase complex composed of 1 PurL, 1 PurQ and 2 PurS subunits. {ECO:0000255|HAMAP-Rule:MF_00421, ECO:0000269|PubMed:15301530}.
P46907	1	narK BSU37320	Nitrite extrusion protein (Nitrite facilitator)	[MISSING]
P42087	1	hutM BSU39390 EE57D	Putative histidine permease	[MISSING]
P18156	1	glpF BSU09280	Glycerol uptake facilitator protein	[MISSING]
Q04796	1	dapA BSU16770	4-hydroxy-tetrahydrodipicolinate synthase (HTPA synthase) (EC 4.3.3.7)	SUBUNIT: Homotetramer; dimer of dimers. {ECO:0000255|HAMAP-Rule:MF_00418}.
O34500	1	mntD ytgD BSU30740	Manganese transport system membrane protein MntD	[MISSING]
Q45597	1	fbp yydE BSU40190	Fructose-1,6-bisphosphatase class 3 (FBPase class 3) (EC 3.1.3.11) (D-fructose-1,6-bisphosphate 1-phosphohydrolase class 3)	[MISSING]
P96593	1	mntH ydaR BSU04360	Divalent metal cation transporter MntH	[MISSING]
P49787	1	accC1 accC yqhX BSU24340	Biotin carboxylase 1 (EC 6.3.4.14) (Acetyl-CoA carboxylase subunit A 1) (ACC 1) (EC 6.4.1.2)	SUBUNIT: Acetyl-CoA carboxylase is a heterohexamer of biotin carboxyl carrier protein, biotin carboxylase and the two subunits of carboxyl transferase in a 2:2 complex. {ECO:0000250}.
P55910	1	lctP ycgC BSU03060	L-lactate permease	[MISSING]
P52996	1	panB BSU22430	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11) (Ketopantoate hydroxymethyltransferase) (KPHMT)	SUBUNIT: Homodecamer; pentamer of dimers. {ECO:0000255|HAMAP-Rule:MF_00156}.
P54419	1	metK metE BSU30550	S-adenosylmethionine synthase (AdoMet synthase) (EC 2.5.1.6) (MAT) (Methionine adenosyltransferase)	SUBUNIT: Homotetramer; dimer of dimers. {ECO:0000255|HAMAP-Rule:MF_00086}.
P71040	1	clsA ywnE BSU36590	Major cardiolipin synthase ClsA (CL synthase 2) (EC 2.7.8.-)	[MISSING]
O32169	1	metN yusC BSU32750	Methionine import ATP-binding protein MetN (EC 3.6.3.-)	SUBUNIT: The complex is composed of two ATP-binding proteins (MetN), two transmembrane proteins (MetP) and a solute-binding protein (MetQ). {ECO:0000305}.
P94525	1	araD BSU28780	L-ribulose-5-phosphate 4-epimerase (EC 5.1.3.4) (Phosphoribulose isomerase)	[MISSING]
P94529	1	araP yseD BSU28740	L-arabinose transport system permease protein AraP	[MISSING]
P94391	1	putC ycgN BSU03210	1-pyrroline-5-carboxylate dehydrogenase 2 (P5C dehydrogenase 2) (EC 1.2.1.88) (L-glutamate gamma-semialdehyde dehydrogenase)	[MISSING]
P37810	1	atpG BSU36820	ATP synthase gamma chain (ATP synthase F1 sector gamma subunit) (F-ATPase gamma subunit)	SUBUNIT: F-type ATPases have 2 components, CF(1) - the catalytic core - and CF(0) - the membrane proton channel. CF(1) has five subunits: alpha(3), beta(3), gamma(1), delta(1), epsilon(1). CF(0) has three main subunits: a, b and c (Probable). The F(1)F(0) complex interacts with SpoIIIJ and YqjG; YqgA is found in the same complex. {ECO:0000255|HAMAP-Rule:MF_00815, ECO:0000269|PubMed:19717609, ECO:0000305}.
O34399	1	gltB BSU18440	Glutamate synthase [NADPH] small chain (EC 1.4.1.13) (NADPH-GOGAT)	SUBUNIT: Aggregate of 4 catalytic active heterodimers, consisting of a large and a small subunit. {ECO:0000250}.
O05256	1	maeN yufR BSU31580	Na(+)-malate symporter (Sodium-dependent malate transporter)	[MISSING]
